,Valuation Date,Issuer Grouping,SEDOL Code,Quantity,Currency,Country,Symbol,Exchange
0,6/30/2024,ABU DHABI COMMERCIAL BANK,6545464,1030804,AED,United Arab Emirates,ADCB,ADX
1,6/30/2024,ADNOC DRILLING COMPANY,BN12D39,2225680,AED,United Arab Emirates,ADNOCDRILL,ADX
2,6/30/2024,AED CASH(COMMITTED),CASH_AED,-7,AED,United Arab Emirates,AED,FX_IDC
3,6/30/2024,AKBANK A,B03MN70,717096,TRY,Turkey,AKBNK,BIST
4,6/30/2024,AL MOUWASAT MEDICAL SERVICES,B403QG4,18608,SAR,Saudi Arabia,4002,TADAWUL
5,6/30/2024,AL RAJHI BANK,B12LZH9,307693,SAR,Saudi Arabia,1120,TADAWUL
6,6/30/2024,ALDAR PROPERTIES,B0LX3Y2,1096252,AED,United Arab Emirates,ALDAR,ADX
7,6/30/2024,ALLEGRO SA 144A,BMBQDF6,187194,PLN,Poland,0A5O,LSIN
8,6/30/2024,ALPHA SERVICES AND HOLDINGS SA,BZ1MXR7,1423484,EUR,Greece,0RCS,LSIN
9,6/30/2024,ANGLO AMERICAN PLATINUM LTD,6761000,29453,ZAR,South Africa,AMS,JSE
10,6/30/2024,ANGLO AMERICAN PLC,B1YW0L9,15169,ZAR,South Africa,AGL,JSE
11,6/30/2024,ANGLOGOLD ASHANTI PLC,BRF6FX9,49156,ZAR,South Africa,ANG,JSE
12,6/30/2024,BANK PEKAO SA,5473113,30517,PLN,Poland,0DP0,LSIN
13,6/30/2024,BID CORPORATION LTD,BZBFKT7,31499,ZAR,South Africa,BID,JSE
14,6/30/2024,BIM BIRLESIK MAGAZALAR A,B0D0006,135131,TRY,Turkey,BIMAS,BIST
15,6/30/2024,BUPA ARABIA,B2RLCR0,6954,SAR,Saudi Arabia,8210,TADAWUL
16,6/30/2024,CAPITEC LTD,6440859,26523,ZAR,South Africa,CPI,JSE
17,6/30/2024,CZK CASH(Alpha Committed),CASH_CZK,0,CZK,Czech Republic,CZK,FX_IDC
18,6/30/2024,DINO POLSKA SA 144A,BD0YVN2,8158,PLN,Poland,0TCP,LSIN
19,6/30/2024,DR SULAIMAN AL HABIB MEDICAL GRP,BLGM738,14091,SAR,Saudi Arabia,4013,TADAWUL
20,6/30/2024,EMAAR PROPERTIES,B01RM25,943209,AED,United Arab Emirates,EMAAR,DFM
21,6/30/2024,EMIRATES TELECOM,6322173,409997,AED,United Arab Emirates,EAND,ADX
22,6/30/2024,ETIHAD ETISALAT,B12LR51,180591,SAR,Saudi Arabia,7020,TADAWUL
23,6/30/2024,EUR CASH(Alpha Committed),CASH_EUR,4855,EUR,European Union,EUR,FX_IDC
24,6/30/2024,FIRST ABU DHABI BANK,6624471,484421,AED,United Arab Emirates,FAB,ADX
25,6/30/2024,FIRSTRAND LTD,6606996,1108139,ZAR,South Africa,FSR,JSE
26,6/30/2024,GAZPROM,B59L4L7,824340,RUB,Russian Federation,GAZP,ALOR
27,6/30/2024,GBP CASH(Alpha Committed),CASH_GBP,55733,GBP,United Kingdom,GBP,FX_IDC
28,6/30/2024,GEDEON RICHTER,BC9ZH86,37234,HUF,Hungary,0QFP,LSIN
29,6/30/2024,GMK NORILSKIY NIKEL,B5B1TX2,1509800,RUB,Russian Federation,GMKN,ALOR
30,6/30/2024,GOLD FIELDS LTD,6280215,147545,ZAR,South Africa,GFI,NYSE
