,Security Description,Issuer,Type,Security No.
0,ABSA GROUP LTD,ABSA GROUP LTD,,BFX05H3
1,ABU DHABI COMMERCIAL BANK PJSC COMMON STOCK AED 1,ABU DHABI COMMERCIAL BANK PJSC ,COMMON STOCK AED 1,6545464
2,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,ABU DHABI ISLAMIC BANK PJSC ,COMMON STOCK AED 1,6001728
3,ABU DHABI NATIONAL OIL CO FOR DISTRIBUTION PJSC COMMON STOCK AED 0.08,ABU DHABI NATIONAL OIL CO FOR DISTRIBUTION PJSC ,COMMON STOCK AED 0.08,BYVGM64
4,ADES HOLDING CO COMMON STOCK SAR 1,ADES HOLDING CO ,COMMON STOCK SAR 1,BR56KM3
5,ADNOC DRILLING CO PJSC COMMON STOCK ,ADNOC DRILLING CO PJSC ,COMMON STOCK ,BN12D39
6,ADNOC GAS PLC,ADNOC GAS PLC,,BPJLW35
7,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,ADNOC LOGISTICS & SERVICES ,COMMON STOCK AED,6H9334S
8,ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,ADNOC LOGISTICS & SERVICES ,COMMON STOCK AED 1.983,BRBN103
9,AKBANK TAS COMMON STOCK TRY 1,AKBANK TAS ,COMMON STOCK TRY 1,B03MN70
10,AL ANSARI FINANCIAL SERVICES PJSC COMMON STOCK AED,AL ANSARI FINANCIAL SERVICES PJSC ,COMMON STOCK AED,BMWB101
11,AL RAJHI BANK COMMON STOCK SAR 10,AL RAJHI BANK ,COMMON STOCK SAR 10,B12LZH9
12,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,ALDAR PROPERTIES PJSC ,COMMON STOCK AED 1,B0LX3Y2
13,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,ALDREES PETROLEUM AND TRANSPORT SERVICES CO ,COMMON STOCK SAR 10,B128FF8
14,ALINMA BANK COMMON STOCK SAR 10,ALINMA BANK ,COMMON STOCK SAR 10,B39NWT3
15,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,ALKHORAYEF WATER & POWER TECHNOLOGIES CO ,COMMON STOCK SAR 10,BN33QN1
16,ALPHA BANK SA COMMON STOCK EUR 0.3,ALPHA BANK SA ,COMMON STOCK EUR 0.3,BTJZ707
17,ALPHA SERVICES AND HOLDINGS SA COMMON STOCK ,ALPHA SERVICES AND HOLDINGS SA ,COMMON STOCK ,BZ1MXR7
18,ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,ANGLO AMERICAN PLC ,COMMON STOCK GBP 0.54945,B1XZS82
19,ANGLOGOLD ASHANTI LTD COMMON STOCK ZAR 25,ANGLOGOLD ASHANTI LTD ,COMMON STOCK ZAR 25,6565655
20,ANGLOGOLD ASHANTI PLC ZAR,ANGLOGOLD ASHANTI PLC ZAR,,BRXH266
21,ANGLOGOLD ASHANTI PLC ZAR,ANGLOGOLD ASHANTI PLC ZAR,,BRF6FX9
22,ARAB NATIONAL BANK COMMON STOCK SAR 10,ARAB NATIONAL BANK ,COMMON STOCK SAR 10,B12LZK2
23,ARABIAN CENTRES CO COMMON STOCK SAR 10,ARABIAN CENTRES CO ,COMMON STOCK SAR 10,BKBF694
24,ARABIAN CONTRACTING SERVICES CO COMMON STOCK SAR,ARABIAN CONTRACTING SERVICES CO ,COMMON STOCK SAR,BP4DC81
25,ARABIAN DRILLING CO COMMON STOCK SAR 10,ARABIAN DRILLING CO ,COMMON STOCK SAR 10,BPNZYP9
26,ATHENS INTERNATIONAL AIRPORT SA COMMON STOCK EUR 1,ATHENS INTERNATIONAL AIRPORT SA ,COMMON STOCK EUR 1,BPYS8N3
27,AVI LTD COMMON STOCK ZAR 5,AVI LTD ,COMMON STOCK ZAR 5,6040958
28,BANCA TRANSILVANIA SA COMMON STOCK RON 1,BANCA TRANSILVANIA SA ,COMMON STOCK RON 1,5393307
29,BANK OF CYPRUS HOLDINGS PLC COMMON STOCK EUR 0.1,BANK OF CYPRUS HOLDINGS PLC ,COMMON STOCK EUR 0.1,BN2BZT5
30,BANK POLSKA KASA OPIEKI SA COMMON STOCK ,BANK POLSKA KASA OPIEKI SA ,COMMON STOCK ,5473113
31,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,BENEFIT SYSTEMS SA ,COMMON STOCK PLN 1,B4XY9X2
32,BID CORP LTD COMMON STOCK ZAR,BID CORP LTD ,COMMON STOCK ZAR,BZBFKT7
33,BIDVEST GROUP LTD COMMON STOCK ZAR 5,BIDVEST GROUP LTD ,COMMON STOCK ZAR 5,6100089
34,BIM BIRLESIK MAGAZALAR AS COMMON STOCK ,BIM BIRLESIK MAGAZALAR AS ,COMMON STOCK ,B0D0006
35,BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,BUPA ARABIA FOR COOPERATIVE INSURANCE CO ,COMMON STOCK SAR 10,B2RLCR0
36,CCC SA COMMON STOCK PLN 0.1,CCC SA ,COMMON STOCK PLN 0.1,B04QR13
37,CLICKS GROUP LTD COMMON STOCK ZAR 1,CLICKS GROUP LTD ,COMMON STOCK ZAR 1,6105578
38,CO FOR COOPERATIVE INSURANCE/THE COMMON STOCK SAR 10,CO FOR COOPERATIVE INSURANCE/THE ,COMMON STOCK SAR 10,B128FN6
39,DETSKY MIR PJSC COMMON STOCK RUB 0.0004,DETSKY MIR PJSC ,COMMON STOCK RUB 0.0004,0H5850S
40,DISCOVERY LTD COMMON STOCK ZAR 0.1,DISCOVERY LTD ,COMMON STOCK ZAR 0.1,6177878
41,DUBAI ELECTRICITY & WATER AU,DUBAI ELECTRICITY & WATER AU,,BJLTVJ4
42,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,DUBAI ISLAMIC BANK PJSC ,COMMON STOCK AED 1,6283452
43,DUBAI TAXI CO PJSC COMMON STOCK AED 0.04,DUBAI TAXI CO PJSC ,COMMON STOCK AED 0.04,BQ7VXK8
44,ELECTRICAL INDUSTRIES CO COMMON STOCK SAR 0.5,ELECTRICAL INDUSTRIES CO ,COMMON STOCK SAR 0.5,BSMSY94
45,ELM CO COMMON STOCK SAR 10,ELM CO ,COMMON STOCK SAR 10,BNYDSH8
46,EMAAR DEVELOPMENT PJSC COMMON STOCK AED 1,EMAAR DEVELOPMENT PJSC ,COMMON STOCK AED 1,BDG1977
47,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,EMAAR PROPERTIES PJSC ,COMMON STOCK AED 1,B01RM25
48,EMIRATES INTEGRATED TELECOMMUNICATIONS CO PJSC COMMON STOCK AED 1,EMIRATES INTEGRATED TELECOMMUNICATIONS CO PJSC ,COMMON STOCK AED 1,B13TMN7
49,EMIRATES NBD BANK PJSC COMMON STOCK AED 1,EMIRATES NBD BANK PJSC ,COMMON STOCK AED 1,B28PFX8
50,EMIRATES TELECOMMUNICATIONS GROUP CO PJSC COMMON STOCK AED 1,EMIRATES TELECOMMUNICATIONS GROUP CO PJSC ,COMMON STOCK AED 1,6322173
51,ERSTE GROUP BANK AG COMMON STOCK EUR 0,ERSTE GROUP BANK AG ,COMMON STOCK EUR 0,5289837
52,ETIHAD ETISALAT CO COMMON STOCK SAR 10,ETIHAD ETISALAT CO ,COMMON STOCK SAR 10,B12LR51
53,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK 0.22,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA ,COMMON STOCK 0.22,BYZ43T4
54,EUROBANK SA COMMON STOCK EUR 0.22,EUROBANK SA ,COMMON STOCK EUR 0.22,BW9DW63
55,FERTIGLOBE PLC COMMON STOCK,FERTIGLOBE PLC ,COMMON STOCK,BMXCL70
56,FIRST ABU DHABI BANK PJSC COMMON STOCK AED 1,FIRST ABU DHABI BANK PJSC ,COMMON STOCK AED 1,6624471
57,FIRSTRAND LTD COMMON STOCK ZAR 1,FIRSTRAND LTD ,COMMON STOCK ZAR 1,6606996
58,FIX PRICE GROUP LTD GDR,FIX PRICE GROUP LTD GDR,,0H6372S
59,FIX PRICE GROUP LTD GDR,FIX PRICE GROUP LTD GDR,,X84CF24
60,FORD OTOMOTIV SANAYI AS COMMON STOCK TRY 1,FORD OTOMOTIV SANAYI AS ,COMMON STOCK TRY 1,B03MSR5
61,FOSCHINI GROUP LTD/THE COMMON STOCK ZAR 1.25,FOSCHINI GROUP LTD/THE ,COMMON STOCK ZAR 1.25,6349688
62,GAZPROM NEFT PJSC COMMON STOCK RUB,GAZPROM NEFT PJSC ,COMMON STOCK RUB,0H5803S
63,GAZPROM NEFT PJSC COMMON STOCK RUB,GAZPROM NEFT PJSC ,COMMON STOCK RUB,X84D1F6
64,GAZPROM PJSC ADR,GAZPROM PJSC ADR,,0H6364S
65,GAZPROM PJSC ADR,GAZPROM PJSC ADR,,X84C976
66,GAZPROM PJSC COMMON STOCK RUB,GAZPROM PJSC ,COMMON STOCK RUB,X8C529A
67,GAZPROM PJSC COMMON STOCK RUB,GAZPROM PJSC ,COMMON STOCK RUB,0H5796S
68,GOLD FIELDS LTD COMMON STOCK ZAR 50,GOLD FIELDS LTD ,COMMON STOCK ZAR 50,6280215
69,GRUPA KETY SA COMMON STOCK PLN 2.5,GRUPA KETY SA ,COMMON STOCK PLN 2.5,5216385
70,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,,B1KDG41
71,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,HARMONY GOLD MINING CO LTD ,COMMON STOCK ZAR 50,6410562
72,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA ,COMMON STOCK EUR 2.83,5051605
73,HUMANSOFT HOLDING CO KSC COMMON STOCK KWD 100,HUMANSOFT HOLDING CO KSC ,COMMON STOCK KWD 100,B13BYX7
74,IMPALA PLATINUM HOLDINGS LTD COMMON STOCK ZAR 0,IMPALA PLATINUM HOLDINGS LTD ,COMMON STOCK ZAR 0,B1FFT76
75,INDUSTRIES QATAR QSC COMMON STOCK QAR 1,INDUSTRIES QATAR QSC ,COMMON STOCK QAR 1,6673570
76,JARIR MARKETING CO COMMON STOCK SAR 1,JARIR MARKETING CO ,COMMON STOCK SAR 1,B128FM5
77,JERONIMO MARTINS SGPS SA COMMON STOCK EUR 1,JERONIMO MARTINS SGPS SA ,COMMON STOCK EUR 1,B1Y1SQ7
78,JPM GBP LIQUIDITY LVNAV X (DIST.),JPM GBP LIQUIDITY LVNAV X (DIST.),,5819115
79,JPM USD LIQUIDITY LVNAV X (DIST.),JPM USD LIQUIDITY LVNAV X (DIST.),,7253766
80,JSC KASPI.KZ GDR-REG S,JSC KASPI.KZ GDR-REG S,,BMXZ8G7
81,JSE LTD,JSE LTD,,B12W5L6
82,JUMBO SA COMMON STOCK EUR 0.88,JUMBO SA ,COMMON STOCK EUR 0.88,7243530
83,KASPI.KZ JSC - ADR (SPONSORED) LEVEL III,KASPI.KZ JSC - ADR (SPONSORED) LEVEL III,,BJY21K1
84,KGHM POLSKA MIEDZ SA COMMON STOCK PLN 10,KGHM POLSKA MIEDZ SA ,COMMON STOCK PLN 10,5263251
85,KOMERCNI BANKA AS COMMON STOCK CZK 100,KOMERCNI BANKA AS ,COMMON STOCK CZK 100,4519449
86,KRKA DD NOVO MESTO COMMON STOCK EUR 1,KRKA DD NOVO MESTO ,COMMON STOCK EUR 1,5157235
87,KRUK SA COMMON STOCK PLN 1,KRUK SA ,COMMON STOCK PLN 1,B4PTLY0
88,KUMBA IRON ORE LTD COMMON STOCK ZAR 0.01,KUMBA IRON ORE LTD ,COMMON STOCK ZAR 0.01,B1G4262
89,LEEJAM SPORTS CO JSC COMMON STOCK SAR 10,LEEJAM SPORTS CO JSC ,COMMON STOCK SAR 10,BF12ZV5
90,LION FINANCE GROUP PLC COMMON STOCK GBP 1,LION FINANCE GROUP PLC ,COMMON STOCK GBP 1,BF4HYT8
91,LPP SA COMMON STOCK PLN 2,LPP SA ,COMMON STOCK PLN 2,7127979
92,LUKOIL PJSC COMMON STOCK RUB,LUKOIL PJSC ,COMMON STOCK RUB,0H5797S
93,LUKOIL PJSC COMMON STOCK RUB,LUKOIL PJSC ,COMMON STOCK RUB,X84D1F5
94,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,LUKOIL PJSC ,COMMON STOCK RUB 0.025 RUB,2H6442S
95,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,LUKOIL PJSC ,COMMON STOCK RUB 0.025 RUB,X84C974
96,LUMI RENTAL CO COMMON STOCK SAR 10,LUMI RENTAL CO ,COMMON STOCK SAR 10,BN4J940
97,MAGNIT PJSC COMMON STOCK RUB 0.01,MAGNIT PJSC ,COMMON STOCK RUB 0.01,0H5813S
98,MAGNIT PJSC COMMON STOCK RUB 0.01,MAGNIT PJSC ,COMMON STOCK RUB 0.01,X8C505A
99,MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,MAGYAR TELEKOM TELECOMMUNICATIONS PLC ,COMMON STOCK HUF 100,4577469
100,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,,0H6371S
101,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,,X8C6397
102,METLEN ENERGY & METALS PLC COMMON STOCK EUR 1,METLEN ENERGY & METALS PLC ,COMMON STOCK EUR 1,BTQGS77
103,METLEN ENERGY & METALS SA COMMON STOCK ,METLEN ENERGY & METALS SA ,COMMON STOCK ,5898664
104,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,MMC NORILSK NICKEL PJSC ,COMMON STOCK RUB 1,0H5804S
105,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,MMC NORILSK NICKEL PJSC ,COMMON STOCK RUB 1,X84C977
106,MODERN MILLS CO COMMON STOCK SAR 10,MODERN MILLS CO ,COMMON STOCK SAR 10,BSLKY24
107,MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,MOL HUNGARIAN OIL & GAS PLC ,COMMON STOCK HUF 125,BD5ZXH8
108,MONETA MONEY BANK AS COMMON STOCK CZK 20,MONETA MONEY BANK AS ,COMMON STOCK CZK 20,BD3CQ16
109,MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,MOTOR OIL HELLAS CORINTH REFINERIES SA ,COMMON STOCK EUR 0.75,5996234
110,MOTUS HOLDINGS LTD COMMON STOCK ZAR,MOTUS HOLDINGS LTD ,COMMON STOCK ZAR,BDRN3H0
111,MOUWASAT MEDICAL SERVICES CO COMMON STOCK SAR 10,MOUWASAT MEDICAL SERVICES CO ,COMMON STOCK SAR 10,B403QG4
112,MR PRICE GROUP LTD COMMON STOCK ZAR 0.025,MR PRICE GROUP LTD ,COMMON STOCK ZAR 0.025,BYXW419
113,MTN GROUP LTD COMMON STOCK ZAR 0.01,MTN GROUP LTD ,COMMON STOCK ZAR 0.01,6563206
114,NAC KAZATOMPROM JSC GDR USD,NAC KAZATOMPROM JSC GDR USD,,BGXQL36
115,NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD ,COMMON STOCK ZAR 2,BN0VX82
116,NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD ,COMMON STOCK ZAR 2,BV2FFX7
117,NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD ,COMMON STOCK ZAR 2,6622691
118,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,NATIONAL BANK OF GREECE SA ,COMMON STOCK EUR 1,BG087C6
119,NATIONAL BANK OF KUWAIT SAKP COMMON STOCK KWD 100,NATIONAL BANK OF KUWAIT SAKP ,COMMON STOCK KWD 100,6889526
120,NEDBANK GROUP LTD COMMON STOCK ZAR 100,NEDBANK GROUP LTD ,COMMON STOCK ZAR 100,6628008
