,Security Description,Security No.,Holding August 2024,Holding July 2024,Holding June 2024,Holding May 2024,Holding April 2024,Holding March 2024,Holding February 2024,Holding January 2024,Holding December 2023,Holding November 2023,Holding October 2023,Holding September 2023,Holding August 2023,Holding July 2023,Holding June 2023,Holding May 2023,Holding April 2023,Holding March 2023,Holding February 2023,Holding January 2023,Holding December 2022,Holding November 2022,Holding October 2022,Holding September 2022,Holding August 2022,Holding July 2022,Holding June 2022,Holding May 2022,Holding April 2022,Holding March 2022
0,FIRSTRAND LTD COMMON STOCK ZAR 1,6606996,164763.0,164763.0,164763.0,164763.0,164763.0,164763.0,164763.0,164763.0,164763.0,164763.0,164763.0,193157.0,193157.0,193157.0,193157.0,165940.0,165940.0,159093.0,159093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,32585.0,32585.0,32585.0,32585.0,43283.0,43283.0,43283.0,50214.0,48261.0,52402.0,52402.0,53763.0,53763.0,53763.0,53763.0,53763.0,53763.0,47835.0,47835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,JPM GBP LIQUIDITY LVNAV X (DIST.),5819115,514330.73,514330.73,514330.73,514330.73,514330.73,514330.73,514330.73,500786.64,1000786.64,1000786.64,1000786.64,1000786.64,1000786.64,785612.19,1000057.54,1000057.54,1000057.54,1005957.54,2029792.33,17002248.27,17002248.27,17002248.27,16981316.3,16981316.3,17068108.68,17073471.32,0.0,0.0,0.0,0.0
3,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,47354.0,47354.0,47354.0,47354.0,47354.0,47354.0,47354.0,47354.0,47354.0,47354.0,47354.0,54674.0,45012.0,45012.0,45012.0,45012.0,45012.0,45012.0,45012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,6148197,142756.0,142756.0,117376.0,117376.0,117376.0,117376.0,131277.0,131277.0,131277.0,131277.0,131277.0,131277.0,145911.0,145911.0,145911.0,145911.0,145911.0,145911.0,145911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,SAUDI ARABIAN OIL CO COMMON STOCK SAR,BJTM270,73566.0,73566.0,73566.0,73566.0,73566.0,73566.0,95550.0,95550.0,95550.0,95550.0,95550.0,84432.0,84432.0,84432.0,84432.0,84432.0,76757.0,76757.0,76757.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,B01RM25,225483.0,225483.0,200673.0,200673.0,200673.0,200673.0,200673.0,200673.0,200673.0,200673.0,244040.0,244040.0,244040.0,244040.0,244040.0,244040.0,244040.0,244040.0,244040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,THE SAUDI NATIONAL BANK,BSHYYN1,51456.0,51456.0,81271.0,81271.0,81271.0,81271.0,81271.0,81271.0,81271.0,81271.0,81271.0,84089.0,90825.0,90825.0,90825.0,90825.0,67786.0,67786.0,37122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,OTP BANK NYRT COMMON STOCK HUF 100,7320154,8780.0,8780.0,7639.0,7639.0,7639.0,7639.0,8859.0,8859.0,7889.0,7889.0,7889.0,7889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,B03NGS5,29624.0,29624.0,29624.0,29624.0,29624.0,24341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NASPERS LTD COMMON STOCK ZAR 2,BN0VX82,2142.0,2142.0,2142.0,2142.0,0.0,0.0,2744.0,2744.0,2744.0,4185.0,4185.0,4185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,GOLD FIELDS LTD COMMON STOCK ZAR 50,6280215,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,31177.0,18714.0,18714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,EMIRATES NBD BANK PJSC COMMON STOCK AED 1,B28PFX8,78089.0,94036.0,94036.0,94036.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ALINMA BANK COMMON STOCK SAR 10,B39NWT3,49901.0,49901.0,49901.0,49901.0,49901.0,39921.0,39921.0,39921.0,35961.0,43770.0,43770.0,43770.0,43770.0,43770.0,43770.0,43770.0,43770.0,36677.0,36677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,B1KDG41,22007.0,22007.0,22007.0,22007.0,22007.0,22007.0,22007.0,22007.0,24260.0,24260.0,24260.0,13529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842766.0,842766.0
15,BANK POLSKA KASA OPIEKI SA COMMON STOCK PLN 1,5473113,9088.0,9088.0,9088.0,9088.0,7997.0,6274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,2H6442S,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0,362649.0
17,LUKOIL PJSC COMMON STOCK RUB,0H5797S,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0,262047.0
18,ABU DHABI COMMERCIAL BANK PJSC COMMON STOCK AED 1,6545464,148768.0,148768.0,148768.0,148768.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123763.0,123762.0,117633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ABSA GROUP LTD,BFX05H3,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,35367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,6801575,19991.0,19991.0,19991.0,19991.0,19991.0,19991.0,23944.0,23944.0,23944.0,30074.0,30074.0,30074.0,30074.0,30074.0,30074.0,30074.0,30074.0,30074.0,30074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,TUPRAS-TURKIYE PETROL RAFINE,B03MYT9,70158.0,70158.0,70158.0,92792.0,92792.0,92792.0,92792.0,92792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,RICHTER GEDEON NYRT COMMON STOCK HUF 100,BC9ZH86,11178.0,11178.0,11178.0,11178.0,11178.0,11178.0,11178.0,11178.0,11178.0,11178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,6001728,98209.0,98209.0,98209.0,98209.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,66726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,B0LX3Y2,161482.0,202697.0,172191.0,172191.0,172191.0,172191.0,172191.0,172191.0,172191.0,172191.0,226609.0,226609.0,226609.0,226609.0,226609.0,226609.0,226609.0,226609.0,226609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,JSC KASPI.KZ GDR-REG S,BJY21K1,2401.0,2401.0,2401.0,2401.0,2401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,6410562,31227.0,31227.0,31227.0,31227.0,31227.0,27388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,RIYAD BANK COMMON STOCK SAR 10,B12LZW4,44928.0,44928.0,44928.0,44928.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,38596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,TBC BANK GROUP PLC COMMON STOCK GBP 1,BYT1830,7421.0,7421.0,7421.0,7421.0,7421.0,7421.0,7421.0,7421.0,7421.0,7421.0,7421.0,3504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,NAC KAZATOMPROM JSC GDR USD,BGXQL36,8205.0,8205.0,8205.0,8205.0,8205.0,8205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65502.0,65502.0
30,ADNOC GAS PLC,BPJLW35,355644.0,355644.0,355644.0,355644.0,299979.0,247235.0,247235.0,247235.0,247235.0,247235.0,153691.0,153691.0,153691.0,153691.0,153691.0,153691.0,153691.0,153691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,BF4HYT8,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,4992.0,3884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,ADNOC DRILLING CO PJSC COMMON STOCK AED,BN12D39,250715.0,250715.0,250715.0,250715.0,250715.0,250715.0,250715.0,250715.0,250715.0,250715.0,250715.0,250715.0,309743.0,309743.0,309743.0,309743.0,309743.0,309743.0,309743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,BYZ43T4,127190.0,127190.0,127190.0,127190.0,127190.0,127190.0,127190.0,127190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,GAZPROM PJSC COMMON STOCK RUB,0H5796S,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0,8860909.0
35,GAZPROM PJSC ADR,0H6364S,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0,5365084.0
36,SAUDI TELECOM CO COMMON STOCK,B12M7Q5,24635.0,24635.0,24635.0,24635.0,47333.0,47333.0,52618.0,52618.0,52618.0,52618.0,52618.0,52618.0,40325.0,40325.0,40325.0,40325.0,40325.0,40325.0,40325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,SANLAM LTD COMMON STOCK ZAR 1,B0L6750,55547.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,95185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,BANCA TRANSILVANIA SA COMMON STOCK RON 1,5393307,42467.0,42467.0,36992.0,36992.0,36992.0,36992.0,36992.0,36992.0,36992.0,36992.0,36992.0,36992.0,49478.0,49478.0,43841.0,43841.0,43841.0,43841.0,43841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,LPP SA COMMON STOCK PLN 2,7127979,71.0,71.0,71.0,71.0,71.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,0H5856S,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0,14455036.0
41,SBERBANK OF RUSSIA PJSC,0H5855S,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0,2355925.0
42,NOVA LJUBLJANSKA BANKA DD GDR EUR,BGRPD22,9893.0,9893.0,14028.0,14028.0,14028.0,12128.0,12128.0,12128.0,12128.0,12128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,JUMBO SA COMMON STOCK EUR 0.88,7243530,10435.0,8071.0,8071.0,8071.0,11953.0,11953.0,11953.0,11953.0,11953.0,11953.0,11953.0,11953.0,16143.0,16143.0,16143.0,16143.0,16143.0,16143.0,9408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,LEEJAM SPORTS CO JSC COMMON STOCK SAR 10,BF12ZV5,4537.0,4537.0,4537.0,4537.0,2904.0,2904.0,2904.0,2904.0,2904.0,2904.0,6125.0,6125.0,6125.0,7955.0,7955.0,7955.0,7955.0,7955.0,7955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,B03MYK0,27950.0,27950.0,22901.0,22901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SAUDI ARAMCO BASE OIL CO COMMON STOCK SAR 10,BMDKMB5,7008.0,7008.0,7008.0,7008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,BG087C6,28042.0,28042.0,28042.0,28042.0,40671.0,40671.0,40671.0,40671.0,40671.0,40671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,CLICKS GROUP LTD COMMON STOCK ZAR 1,6105578,11541.0,11541.0,11541.0,11541.0,11541.0,11541.0,13624.0,13624.0,13624.0,13624.0,22972.0,22972.0,22972.0,22972.0,20411.0,6332.0,6332.0,6332.0,6332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,6283452,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,144384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,BIM BIRLESIK MAGAZALAR AS COMMON STOCK TRY 1,B0D0006,15181.0,15181.0,15181.0,15181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
