,Holding,Security Description,Market Value,Security No.
0,43170,ABSA GROUP LTD,463321.32,BFX05H3
1,114708,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,481565.01,6001728
2,105992,ADES HOLDING CO COMMON STOCK SAR 1,366401.49,BR56KM3
3,411462,ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,491398.93,BRBN103
4,52919,AL RAJHI BANK COMMON STOCK SAR 10,1021664.37,B12LZH9
5,278047,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,489091.88,B0LX3Y2
6,6921,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,175459.57,B128FF8
7,8582,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,227775.36,BN33QN1
8,105820,ALPHA BANK SA COMMON STOCK EUR 0.3,330785.82,BTJZ707
9,3669,ANGLOGOLD ASHANTI PLC ZAR,232543.21,BRXH266
10,30202,ARAB NATIONAL BANK COMMON STOCK SAR 10,128470.4,B12LZK2
11,67609,ARABIAN CENTRES CO COMMON STOCK SAR 10,253013.77,BKBF694
12,20939,ATHENS INTERNATIONAL AIRPORT SA COMMON STOCK EUR 1,196361.49,BPYS8N3
13,36498,BANCA TRANSILVANIA SA COMMON STOCK RON 1,188928.77,5393307
14,42976,BANK OF CYPRUS HOLDINGS PLC COMMON STOCK EUR 0.1,297949.46,BN2BZT5
15,536,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,388500.27,B4XY9X2
16,24432,DISCOVERY LTD COMMON STOCK ZAR 0.1,249423.14,6177878
17,180593,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,338869.99,6283452
18,1219,ELM CO COMMON STOCK SAR 10,180614.48,BNYDSH8
19,97455,EMAAR DEVELOPMENT PJSC COMMON STOCK AED 1,298860.98,BDG1977
20,196579,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,555090.5,B01RM25
21,115911,EMIRATES INTEGRATED TELECOMMUNICATIONS CO PJSC COMMON STOCK AED 1,227822.36,B13TMN7
22,27826,ETIHAD ETISALAT CO COMMON STOCK SAR 10,363750.2,B12LR51
23,115936,EUROBANK SA COMMON STOCK EUR 0.22,346716.88,BW9DW63
24,145007,FIRSTRAND LTD COMMON STOCK ZAR 1,588811.94,6606996
25,577525,FIX PRICE GROUP LTD GDR,4036.09,X84CF24
26,1265335,GAZPROM NEFT PJSC COMMON STOCK RUB,45528.86,X84D1F6
27,5365084,GAZPROM PJSC ADR,23190.66,X84C976
28,8860909,GAZPROM PJSC COMMON STOCK RUB,189720.49,X8C529A
29,26569,GOLD FIELDS LTD COMMON STOCK ZAR 50,865122.04,6280215
30,1210,GRUPA KETY SA COMMON STOCK PLN 2.5,228576.95,5216385
31,25227,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,561725.32,B1KDG41
32,27699,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,415842.7,6410562
33,1011.54,JPM USD LIQUIDITY LVNAV X (DIST.),752.05,7253766
34,43588,JSE LTD,279667.53,B12W5L6
35,7097,KASPI.KZ JSC - ADR (SPONSORED) LEVEL III,412243.86,BJY21K1
36,10004,KGHM POLSKA MIEDZ SA COMMON STOCK PLN 10,580910.6,5263251
37,2055,KRKA DD NOVO MESTO COMMON STOCK EUR 1,362459.34,5157235
38,3037,KRUK SA COMMON STOCK PLN 1,308992.83,B4PTLY0
39,18739,KUMBA IRON ORE LTD COMMON STOCK ZAR 0.01,293442.72,B1G4262
40,262047,LUKOIL PJSC COMMON STOCK RUB,121490.17,X84D1F5
41,362649,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,175660.39,X84C974
42,180877,MAGNIT PJSC COMMON STOCK RUB 0.01,50382.3,X8C505A
43,432517,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,18329.04,X8C6397
44,9516,METLEN ENERGY & METALS PLC COMMON STOCK EUR 1,366843.85,BTQGS77
45,7119200,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,127755.73,X84C977
46,23477,MONETA MONEY BANK AS COMMON STOCK CZK 20,163166.56,BD3CQ16
47,11639,NAC KAZATOMPROM JSC GDR USD,477657.18,BGXQL36
48,14918,NASPERS LTD COMMON STOCK ZAR 2,738916.1,BV2FFX7
49,35102,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,398447.69,BG087C6
50,206580,NATIONAL BANK OF KUWAIT SAKP COMMON STOCK KWD 100,505957.65,6889526
51,41161,NEDBANK GROUP LTD COMMON STOCK ZAR 100,491734.75,6628008
52,14767,NOVA LJUBLJANSKA BANKA DD GDR EUR,465474.16,BGRPD22
53,103572,NOVATEK PJSC COMMON STOCK RUB 0.1,11823.98,X84C970
54,1268490,NOVATEK PJSC COMMON STOCK RUB 0.1,151298.2,X84C972
55,3657350,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,64454.45,X84C97E
56,57840,OPTIMA BANK SA COMMON STOCK EUR 3.45,387364.44,BL571C1
57,178126,PARKIN CO PJSC COMMON STOCK AED 0.02,204799.13,BRRGQF6
58,55866,PIRAEUS BANK SA COMMON STOCK EUR 0.93,331412.75,BVLKBV3
59,297730,POLYUS PJSC COMMON STOCK RUB,31129.25,X84D1F8
60,22525,POWSZECHNY ZAKLAD UBEZPIECZEN SA COMMON STOCK PLN 0.1,310877.66,B63DG21
61,257026,QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,235595.8,B0MLBC9
62,169179,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,644612.88,6148197
63,54728,RIYAD BANK COMMON STOCK SAR 10,294413.07,B12LZW4
64,8636,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,222703.78,BNBPXW7
65,1677948,ROSNEFT OIL CO PJSC COMMON STOCK RUB,48575.17,X84D1F9
66,2041744,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,56504.75,X84C971
67,6156103,ROSTELECOM PJSC COMMON STOCK RUB,39273.28,X84C978
68,69192,SANLAM LTD COMMON STOCK ZAR 1,305764.51,B0L6750
69,24341,SARANTIS SA EUR1.53,289050.3,7124958
70,77960,SASOL LTD COMMON STOCK ZAR 0,371270.1,6777450
71,26440,SAUDI AWWAL BANK COMMON STOCK SAR 10,169697.7,B12LSY7
72,20014,SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,143687.84,BYYTJ69
73,2355925,SBERBANK OF RUSSIA PJSC,27625.17,X8C6398
74,14455036,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,170731.16,X8C6155
75,552780,SEVERSTAL PAO GDR USD,246.99,X84C975
76,33424,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,405257.48,6801575
77,170486,SIBANYE STILLWATER LTD COMMON STOCK ZAR,460876.78,BL0L913
78,12313057,SISTEMA PJSFC COMMON STOCK RUB 0.09,13776.47,X84D1F7
79,50500,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,655192.1,B030GJ7
80,730066,TATNEFT PJSC COMMON STOCK RUB,24622.77,X84C973
81,571359,TATNEFT PJSC PREFERENCE RUB 1,17065.03,X8C6150
82,75226,TCS GROUP HOLDING PLC GDR,1785.78,X8C4FD3
83,228871,TECOM GROUP PJSC COMMON STOCK AED 0.1,157978.36,BLDC8Q1
84,89266,THE SAUDI NATIONAL BANK,670245.19,BSHYYN1
85,56165,TUPRAS-TURKIYE PETROL RAFINE,179218.79,B03MYT9
86,31577,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,146714.16,B03MYK0
87,737944,TURKIYE SIGORTA AS COMMON STOCK TRY 1,150682.31,B03MTD8
88,14337,UNITED ELECTRONICS CO COMMON STOCK SAR,240133.45,B4P2SD7
89,12911,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,159563.66,B2493D0
90,10460,VALTERRA PLATINUM LTD COMMON STOCK ZAR 10,661537.26,6761000
91,4246654,VTB BANK PJSC COMMON STOCK RUB 0.01,38202.68,X8C6392
92,72103,WE BUY CARS HOLDINGS LTD COMMON STOCK ZAR,154477.69,BSB8C80
93,275182,X 5 RETAIL GROUP NV-REGS GDR,1087.19,X8C4FD9
