,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,September 2024,August 2024,July 2024,June 2024,May 2024,April 2024,March 2024,February 2024,January 2024,December 2023,November 2023,October 2023,September 2023,August 2023,July 2023,June 2023,May 2023,April 2023,March 2023,February 2023,January 2023,December 2022,November 2022,October 2022,September 2022,August 2022,July 2022,June 2022,May 2022,April 2022,March 2022
0,AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,1120,TADAWUL,SAR,1.0,32585,32585,32585,32585,32585,43283,43283,43283,50214,48261,52402,52402,53763,53763,53763,53763,53763,53763,47835,47835,0,0,0,0,0,0,0,0,0,0,0
1,JPM GBP LIQUIDITY LVNAV X (DIST.),5819115,GBPGBP,FX_IDC,GBP,1.0,514330.73,514330.73,514330.73,514330.73,514330.73,514330.73,514330.73,514330.73,500786.64,1000786.64,1000786.64,1000786.64,1000786.64,1000786.64,785612.19,1000057.54,1000057.54,1000057.54,1005957.54,2029792.33,17002248.27,17002248.27,17002248.27,16981316.3,16981316.3,17068108.68,17073471.32,0,0,0,0
2,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,6148197,QNBK,QSE,QAR,1.0,142756,142756,142756,117376,117376,117376,117376,131277,131277,131277,131277,131277,131277,145911,145911,145911,145911,145911,145911,145911,0,0,0,0,0,0,0,0,0,0,0
3,FIRSTRAND LTD COMMON STOCK ZAR 1,6606996,FSR,JSE,ZAC,1.0,121145,164763,164763,164763,164763,164763,164763,164763,164763,164763,164763,164763,193157,193157,193157,193157,165940,165940,159093,159093,0,0,0,0,0,0,0,0,0,0,0
4,SAUDI ARABIAN OIL CO COMMON STOCK SAR,BJTM270,2222,TADAWUL,SAR,1.0,73566,73566,73566,73566,73566,73566,73566,95550,95550,95550,95550,95550,84432,84432,84432,84432,84432,76757,76757,76757,0,0,0,0,0,0,0,0,0,0,0
5,NASPERS LTD COMMON STOCK ZAR 2,BN0VX82,NPN,JSE,ZAC,1.0,2142,2142,2142,2142,2142,0,0,2744,2744,2744,4185,4185,4185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,SBK,JSE,ZAC,1.0,35497,47354,47354,47354,47354,47354,47354,47354,47354,47354,47354,47354,54674,45012,45012,45012,45012,45012,45012,45012,0,0,0,0,0,0,0,0,0,0,0
7,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,B01RM25,EMAAR,DFM,AED,1.0,210406,225483,225483,200673,200673,200673,200673,200673,200673,200673,200673,244040,244040,244040,244040,244040,244040,244040,244040,244040,0,0,0,0,0,0,0,0,0,0,0
8,GOLD FIELDS LTD COMMON STOCK ZAR 50,6280215,0QQ8,LSE,CHF,1.0,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,31177,18714,18714,0,0,0,0,0,0,0,0,0,0,0
9,THE SAUDI NATIONAL BANK,BSHYYN1,1180,TADAWUL,SAR,1.0,51456,51456,51456,81271,81271,81271,81271,81271,81271,81271,81271,81271,84089,90825,90825,90825,90825,67786,67786,37122,0,0,0,0,0,0,0,0,0,0,0
10,OTP BANK NYRT COMMON STOCK HUF 100,7320154,OTP,PSECZ,CZK,1.0,8780,8780,8780,7639,7639,7639,7639,8859,8859,7889,7889,7889,7889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,B03NGS5,0DP0,LSE,PLN,1.0,29624,29624,29624,29624,29624,29624,24341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,EMIRATES NBD BANK PJSC COMMON STOCK AED 1,B28PFX8,EMIRATESNBD,DFM,AED,1.0,78089,78089,94036,94036,94036,81600,81600,81600,81600,81600,81600,81600,81600,81600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,B1KDG41,HSBK,LSE,USD,1.0,22007,22007,22007,22007,22007,22007,22007,22007,22007,24260,24260,24260,13529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842766,842766
14,ALINMA BANK COMMON STOCK SAR 10,B39NWT3,1150,TADAWUL,SAR,1.0,49901,49901,49901,49901,49901,49901,39921,39921,39921,35961,43770,43770,43770,43770,43770,43770,43770,43770,36677,36677,0,0,0,0,0,0,0,0,0,0,0
15,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,2H6442S,,,,1.0,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649,362649
16,LUKOIL PJSC COMMON STOCK RUB,0H5797S,,,,1.0,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047,262047
17,ABSA GROUP LTD,BFX05H3,ABG,JSE,ZAC,1.0,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,35367,0,0,0,0,0,0,0,0,0,0,0
18,BANK POLSKA KASA OPIEKI SA COMMON STOCK PLN 1,5473113,0DP0,LSE,PLN,1.0,9088,9088,9088,9088,9088,7997,6274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,RICHTER GEDEON NYRT COMMON STOCK HUF 100,BC9ZH86,0QFP,LSE,HUF,1.0,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,6801575,HY7,JSE,ZAC,1.0,19991,19991,19991,19991,19991,19991,19991,23944,23944,23944,30074,30074,30074,30074,30074,30074,30074,30074,30074,30074,0,0,0,0,0,0,0,0,0,0,0
