,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding,Market Value
0,ABSA GROUP LTD,BFX05H3,ABG,JSE,ZAC,1,37303,396383.21
1,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,6001728,ADIB,ADX,AED,1,35530,148751.29
2,ADES HOLDING CO COMMON STOCK SAR 1,BR56KM3,2382,TADAWUL,SAR,1,83169,303361.46
3,AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,1120,TADAWUL,SAR,1,56152,1209606.62
4,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,B0LX3Y2,ALDAR,ADX,AED,1,131639,211427.64
5,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,B128FF8,4200,TADAWUL,SAR,1,6921,186012.53
6,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,BN33QN1,2081,TADAWUL,SAR,1,8582,207762.45
7,ALPHA BANK SA COMMON STOCK EUR 0.3,BTJZ707,APHBF,OTC,USD,1,83221,230647.09
8,ANGLOGOLD ASHANTI PLC ZAR,BRXH266,AU,NYSE,USD,1,2637,194890.44
9,ARABIAN CENTRES CO COMMON STOCK SAR 10,BKBF694,4321,TADAWUL,SAR,1,84990,293515.89
10,ATHENS INTERNATIONAL AIRPORT SA COMMON STOCK EUR 1,BPYS8N3,AIA,ATHEX,EUR,1,20939,191551.03
11,BANCA TRANSILVANIA SA COMMON STOCK RON 1,5393307,0DP9,LSIN,RON,1,36498,223894.66
12,BANK OF CYPRUS HOLDINGS PLC COMMON STOCK EUR 0.1,BN2BZT5,318,GETTEX,EUR,1,51233,373334.14
13,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,B4XY9X2,0Q3J,LSE,PLN,1,315,223618.77
14,BUDIMEX SA COMMON STOCK PLN 5,4149330,BDX,GPW,PLN,1,1425,191596.95
15,DISCOVERY LTD COMMON STOCK ZAR 0.1,6177878,DSY,JSE,ZAC,1,24432,268609.86
16,ELECTRICAL INDUSTRIES CO COMMON STOCK SAR 0.5,BSMSY94,1303,TADAWUL,SAR,1,68742,231568.5
17,ELM CO COMMON STOCK SAR 10,BNYDSH8,7203,TADAWUL,SAR,1,1685,182509.89
18,EMAAR DEVELOPMENT PJSC COMMON STOCK AED 1,BDG1977,EMAARDEV,DFM,AED,1,61817,170367.51
19,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,B01RM25,EMAAR,DFM,AED,1,154011,371993.37
20,ETIHAD ETISALAT CO COMMON STOCK SAR 10,B12LR51,7020,TADAWUL,SAR,1,27826,367185.63
21,EUROBANK SA COMMON STOCK EUR 0.22,BW9DW63,EUROB,ATHEX,EUR,1,114705,339252.37
22,FIRSTRAND LTD COMMON STOCK ZAR 1,6606996,FSR,JSE,ZAC,1,160674,608590.79
23,FIX PRICE GROUP LTD GDR,X84CF24,PRIVATE,PRIVATE,RUB,1,577525,4116.74
24,GAZPROM NEFT PJSC COMMON STOCK RUB,X84D1F6,SIBN,RUS,RUB,1,1265335,46438.61
25,GAZPROM PJSC ADR,X84C976,GAZP,RUS,RUB,1,5365084,23654.05
26,GAZPROM PJSC COMMON STOCK RUB,X8C529A,GAZP,RUS,RUB,1,8860909,193511.45
27,GOLD FIELDS LTD COMMON STOCK ZAR 50,6280215,0QQ8,LSE,CHF,1,26317,885956.09
28,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,B1KDG41,HSBK,LSIN,USD,1,25227,594949.34
29,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,6410562,0J39,LSE,USD,1,30520,345723.51
30,IMPALA PLATINUM HOLDINGS LTD COMMON STOCK ZAR 0,B1FFT76,0S2J,LSE,USD,1,33556,355184.93
31,JPM USD LIQUIDITY LVNAV X (DIST.),7253766,GBPGBP,FX_IDC,GBP,1,1011.54,767.07
32,JSE LTD,B12W5L6,JSE,JSE,ZAC,1,43588,308476.06
33,KASPI.KZ JSC - ADR (SPONSORED) LEVEL III,BJY21K1,KSPI,NASDAQ,USD,1,8223,461690.24
34,KGHM POLSKA MIEDZ SA COMMON STOCK PLN 10,5263251,0O8D,LSIN,PLN,1,10004,545153.32
