,Holding,Security Description,Market Value,Security No.
0,43170,ABSA GROUP LTD,396185.8,BFX05H3
1,114708,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,468587.84,6001728
2,105992,ADES HOLDING CO COMMON STOCK SAR 1,362712.36,BR56KM3
3,411462,ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,473476.78,BRBN103
4,52919,AL RAJHI BANK COMMON STOCK SAR 10,1020442.89,B12LZH9
5,278047,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,465646.94,B0LX3Y2
6,6921,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,180033.09,B128FF8
7,8582,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,233081.2,BN33QN1
8,105820,ALPHA BANK SA COMMON STOCK EUR 0.3,325699.8,BTJZ707
9,3669,ANGLOGOLD ASHANTI PLC ZAR,237114.32,BRXH266
10,30202,ARAB NATIONAL BANK COMMON STOCK SAR 10,134766.58,B12LZK2
11,67609,ARABIAN CENTRES CO COMMON STOCK SAR 10,269311.35,BKBF694
12,20939,ATHENS INTERNATIONAL AIRPORT SA COMMON STOCK EUR 1,185786.16,BPYS8N3
13,36498,BANCA TRANSILVANIA SA COMMON STOCK RON 1,184108.68,5393307
14,42976,BANK OF CYPRUS HOLDINGS PLC COMMON STOCK EUR 0.1,300384.04,BN2BZT5
15,536,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,391717.05,B4XY9X2
16,3461,CCC SA COMMON STOCK PLN 0.1,95692.62,B04QR13
17,24432,DISCOVERY LTD COMMON STOCK ZAR 0.1,234997.43,6177878
18,180593,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,337693.91,6283452
19,1219,ELM CO COMMON STOCK SAR 10,187730.08,BNYDSH8
20,97455,EMAAR DEVELOPMENT PJSC COMMON STOCK AED 1,293374.71,BDG1977
