,Holding,Security Description,Market Value,Security No.
0,44158,ABSA GROUP LTD,375877.04,BFX05H3
1,117334,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,515464.7,6001728
2,108419,ADES HOLDING CO COMMON STOCK SAR 1,371655.55,BR56KM3
3,420883,ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,500624.93,BRBN103
4,54131,AL RAJHI BANK COMMON STOCK SAR 10,1161252.36,B12LZH9
5,284413,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,530433.75,B0LX3Y2
6,7079,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,220251.89,B128FF8
7,8779,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,267799.4,BN33QN1
8,108243,ALPHA BANK SA COMMON STOCK EUR 0.3,323306.19,BTJZ707
9,3753,ANGLOGOLD ASHANTI PLC ZAR,194355.61,BRXH266
10,41881,ARAB NATIONAL BANK COMMON STOCK SAR 10,206041.75,B12LZK2
11,69157,ARABIAN CENTRES CO COMMON STOCK SAR 10,305562.57,BKBF694
12,21418,ATHENS INTERNATIONAL AIRPORT SA COMMON STOCK EUR 1,188530.63,BPYS8N3
13,43960,BANK OF CYPRUS HOLDINGS PLC COMMON STOCK EUR 0.1,307401.54,BN2BZT5
14,548,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,354361.03,B4XY9X2
15,3540,CCC SA COMMON STOCK PLN 0.1,110257.48,B04QR13
16,184728,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,363660.0,6283452
17,1247,ELM CO COMMON STOCK SAR 10,238662.24,BNYDSH8
18,57584,EMAAR DEVELOPMENT PJSC COMMON STOCK AED 1,176604.9,BDG1977
19,201080,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,591692.98,B01RM25
20,118565,EMIRATES INTEGRATED TELECOMMUNICATIONS CO PJSC COMMON STOCK AED 1,231444.36,B13TMN7
21,118590,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,339730.2,BYZ43T4
22,148327,FIRSTRAND LTD COMMON STOCK ZAR 1,535603.62,6606996
23,577525,FIX PRICE GROUP LTD GDR,4131.93,X84CF24
24,1265335,GAZPROM NEFT PJSC COMMON STOCK RUB,46610.04,X84D1F6
25,5365084,GAZPROM PJSC ADR,23741.37,X84C976
26,8860909,GAZPROM PJSC COMMON STOCK RUB,194225.79,X8C529A
27,33759,GOLD FIELDS LTD COMMON STOCK ZAR 50,1005136.59,6280215
