Security Description,Market Value,% of Fund,Security No.,Holding May24,Holding Jun24,Change
THE SAUDI NATIONAL BANK,628932.02,0.031406797077511664,BSHYYN1,81271.0,81271.0,0.0
AL RAJHI BANK COMMON STOCK SAR 10,559299.16,0.027929561010016198,B12LZH9,32585.0,32585.0,0.0
FIRSTRAND LTD COMMON STOCK ZAR 1,548770.63,0.027403800840841642,6606996,164763.0,164763.0,0.0
JPM GBP LIQUIDITY LVNAV X (DIST.),514330.73,0.025683985477219683,5819115,514330.73,514330.73,0.0
STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,432459.13,0.021595586976518123,B030GJ7,47354.0,47354.0,0.0
SAUDI ARABIAN OIL CO COMMON STOCK SAR,429693.66,0.021457488497903618,BJTM270,73566.0,73566.0,0.0
QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,372586.75,0.018605757186634524,6148197,117376.0,117376.0,0.0
GOLD FIELDS LTD COMMON STOCK ZAR 50,369289.12,0.018441084387423704,6280215,31177.0,31177.0,0.0
POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,366558.54,0.01830472820068684,B03NGS5,29624.0,29624.0,0.0
EMAAR PROPERTIES PJSC COMMON STOCK AED 1,351812.27,0.017568347964329666,B01RM25,200673.0,200673.0,0.0
EMIRATES NBD BANK PJSC COMMON STOCK AED 1,334176.36,0.016687668607843317,B28PFX8,94036.0,94036.0,0.0
SANLAM LTD COMMON STOCK ZAR 1,333606.75,0.016659224157386937,B0L6750,95185.0,95185.0,0.0
NASPERS LTD COMMON STOCK ZAR 2,330995.51,0.01652882741784634,BN0VX82,2142.0,2142.0,0.0
ALINMA BANK COMMON STOCK SAR 10,327243.99,0.01634148884447838,B39NWT3,49901.0,49901.0,0.0
HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,312669.66,0.015613694726362579,B1KDG41,22007.0,22007.0,0.0
LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,171414.76,0.008559889482825763,2H6442S,362649.0,362649.0,0.0
LUKOIL PJSC COMMON STOCK RUB,129270.12,0.006455324737680841,0H5797S,262047.0,262047.0,0.0
OTP BANK NYRT COMMON STOCK HUF 100,300195.13,0.0149907577158613,7320154,7639.0,7639.0,0.0
BANK POLSKA KASA OPIEKI SA COMMON STOCK PLN 1,300087.14,0.014985365050344921,5473113,9088.0,9088.0,0.0
NOVA LJUBLJANSKA BANKA DD GDR EUR,297336.23,0.01484799365025545,BGRPD22,14028.0,14028.0,0.0
TUPRAS-TURKIYE PETROL RAFINE,280180.85,0.013991310381930836,B03MYT9,92792.0,70158.0,-22634.0
NAC KAZATOMPROM JSC GDR USD,259306.82,0.012948929959957903,BGXQL36,8205.0,8205.0,0.0
ABU DHABI COMMERCIAL BANK PJSC COMMON STOCK AED 1,256649.06,0.01281621016458045,6545464,148768.0,148768.0,0.0
JSC KASPI.KZ GDR-REG S,250166.69,0.012492501921563424,BJY21K1,2401.0,2401.0,0.0
SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,245989.47,0.012283905289946348,6801575,19991.0,19991.0,0.0
RIYAD BANK COMMON STOCK SAR 10,245368.55,0.012252898586803186,B12LZW4,44928.0,44928.0,0.0
ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,244515.71,0.012210310561439834,6001728,98209.0,98209.0,0.0
ABSA GROUP LTD,242639.5,0.012116618803235508,BFX05H3,35367.0,35367.0,0.0
LPP SA COMMON STOCK PLN 2,238215.4,0.01189569379618845,7127979,71.0,71.0,0.0
ALDAR PROPERTIES PJSC COMMON STOCK AED 1,230673.91,0.011519096582880592,B0LX3Y2,172191.0,172191.0,0.0
