Security Description,Security No.,Symbol,Exchange,Conv Rate,Holding Jun24
THE SAUDI NATIONAL BANK,BSHYYN1,1180,TADAWUL,1,81271
AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,1120,TADAWUL,1,32585
FIRSTRAND LTD COMMON STOCK ZAR 1,6606996,FSR,JSE,1,164763
JPM GBP LIQUIDITY LVNAV X (DIST.),5819115,GBPGBP,FX_IDC,1,514330.73
STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,SBK,JSE,1,47354
SAUDI ARABIAN OIL CO COMMON STOCK SAR,BJTM270,2222,TADAWUL,1,73566
QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,6148197,QNBK,QSE,1,117376
GOLD FIELDS LTD COMMON STOCK ZAR 50,6280215,0QQ8,LSE,1,31177
POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,B03NGS5,0DP0,LSE,1,29624
EMAAR PROPERTIES PJSC COMMON STOCK AED 1,B01RM25,EMAAR,DFM,1,200673
EMIRATES NBD BANK PJSC COMMON STOCK AED 1,B28PFX8,EMIRATESNBD,DFM,1,94036
SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,1,95185
NASPERS LTD COMMON STOCK ZAR 2,BN0VX82,NPN,JSE,1,2142
ALINMA BANK COMMON STOCK SAR 10,B39NWT3,1150,TADAWUL,1,49901
HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,B1KDG41,HSBK,LSE,1,22007
FIX PRICE GROUP LTD GDR,0H6372S,FIXP,ALOR,1,"577,525"
GAZPROM NEFT PJSC COMMON STOCK RUB,0H5803S,SIBN,ALOR,1,"1,265,335"
OTP BANK NYRT COMMON STOCK HUF 100,7320154,OTP,PSECZ,1,7639
BANK POLSKA KASA OPIEKI SA COMMON STOCK PLN 1,5473113,0DP0,LSE,1,9088
NOVA LJUBLJANSKA BANKA DD GDR EUR,BGRPD22,55VX,LSE,1,14028
TUPRAS-TURKIYE PETROL RAFINE,B03MYT9,TUPRS,BIST,1,70158
NAC KAZATOMPROM JSC GDR USD,BGXQL36,590T,LSE,1,8205
ABU DHABI COMMERCIAL BANK PJSC COMMON STOCK AED 1,6545464,ADCB,ADX,1,148768
JSC KASPI.KZ GDR-REG S,BJY21K1,KKS,FWB,1,2401
SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,6801575,HY7,JSE,1,19991
RIYAD BANK COMMON STOCK SAR 10,B12LZW4,1010,TADAWUL,1,44928
ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,6001728,ADIB,ADX,1,98209
ABSA GROUP LTD,BFX05H3,ABG,JSE,1,35367
LPP SA COMMON STOCK PLN 2,7127979,0LVL,LSE,1,71
ALDAR PROPERTIES PJSC COMMON STOCK AED 1,B0LX3Y2,ALDAR,AED,1,172191
RICHTER GEDEON NYRT COMMON STOCK HUF 100,BC9ZH86,0QFP,LSE,1,11178
HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,6410562,0J39,LSE,1,31227
GAZPROM PJSC ADR,0H6364S,,ALOR,2,"5,365,084"
GAZPROM PJSC COMMON STOCK RUB,0H5796S,,ALOR,1,"8,860,909"
ADNOC DRILLING CO PJSC COMMON STOCK AED,BN12D39,ADNOCDRILL,ADX,1,250715
ADNOC GAS PLC,BPJLW35,ADNOCGAS,ADX,1,355644
EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,BYZ43T4,0RCP,LSIN,1,127190
LEEJAM SPORTS CO JSC COMMON STOCK SAR 10,BF12ZV5,1830,TADAWUL,1,4537
GAZPROM PJSC TOTAL,,GAZP,ALOR,1,"19,591,077"
LUKOIL PJSC COMMON STOCK RUB,0H5797S,,ALOR,1,"262,047"
LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,2H6442S,,ALOR,1,"362,649"
BANCA TRANSILVANIA SA COMMON STOCK RON 1,5393307,0DP9,LSIN,1,36992
BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,BF4HYT8,BGEO,LSE,1,4992
BIM BIRLESIK MAGAZALAR AS COMMON STOCK TRY 1,B0D0006,BMSTL,BIST,1,15181
TURKIYE SIGORTA AS COMMON STOCK TRY 1,B03MTD8,RAYSG,BIST,1,105392
QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,B0MLBC9,QGTS,QSE,1,196322
SAUDI TELECOM CO COMMON STOCK,B12M7Q5,7010,TADAWUL,1,24635
SAUDI ARAMCO BASE OIL CO COMMON STOCK SAR 10,BMDKMB5,2223,TADAWUL,1,7008
TBC BANK GROUP PLC COMMON STOCK GBP 1,BYT1830,TBCG,LSE,1,7421
MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,BD5ZXH8,0RUK,LSIN,1,30929
ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,BN33QN1,2081,TADAWUL,1,4593
NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,BG087C6,0RCR,LSIN,1,28042
JUMBO SA COMMON STOCK EUR 0.88,7243530,0LRI,LSIN,1,8071
MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,5996234,0MQT,LSIN,1,9203
UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,B2493D0,4260,TADAWUL,1,9725
DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,6283452,DIB,DFM,1,144384
BIDVEST GROUP LTD/THE COMMON STOCK ZAR 5,6100089,BST,JSE,1,14151
KRUK SA COMMON STOCK PLN 1,B4PTLY0,03QY,LSIN,1,1892
AKBANK TAS COMMON STOCK TRY 1,B03MN70,AKBNK,BIST,1,111134
CLICKS GROUP LTD COMMON STOCK ZAR 1,6105578,CLS,JSE,1,11541
DUBAI ELECTRICITY & WATER AU,BJLTVJ4,DEWA,DFM,1,361140
RIYADH CABLES GROUP CO COMMON STOCK SAR 10,BNBPXW7,4142,TADAWUL,1,8057
TURK HAVA YOLLARI AO COMMON STOCK TRY 1,B03MYK0,THYAO,BIST,1,22901
MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,4577469,0NUG,LSE,1,74864
SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,1,20423
ADES HOLDING CO COMMON STOCK SAR 1,BR56KM3,2382,TADAWUL,1,39150
METLEN ENERGY & METALS SA COMMON STOCK EUR 0.97,5898664,0KAZ,LSIN,1,5598
LUKOIL PJSC TOTAL,,LKOH,ALOR,1,"624,696"
MAGNIT PJSC COMMON STOCK RUB 0.01,0H5813S,MGNT,ALOR,1,"180,877"
MD MEDICAL GROUP INVESTMENTS PLC GDR USD,0H6371S,MDMG,ALOR,1,"432,517"
KOMERCNI BANKA AS COMMON STOCK CZK 100,4519449,0IKH,LSIN,1,5652
TURKCELL ILETISIM HIZMET AS,B03MYN3,TCELL,BIST,1,61090
HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,5051605,0FIZ,LSIN,1,12548
OPAP SA COMMON STOCK EUR 0.3,7107250,0FI1,LSIN,1,11282
PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,BNC0DB0,0RTY,LSIN,1,48227
PARKIN CO PJSC COMMON STOCK AED 0.02,BRRGQF6,PARKIN,DFM,1,234924
ELM CO COMMON STOCK SAR 10,BNYDSH8,7203,TADAWUL,1,764
BID CORP LTD COMMON STOCK ZAR,BZBFKT7,BID,JSE,1,7428
ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,BZ1MXR7,0RC,LSIN,1,105464
SALIK CO PJSC COMMON STOCK AED 0.01,BJN5952,SALIK,DFM,1,187852
MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,0H5804S,GMKN,ALOR,1,"7,119,200"
ARABIAN CENTRES CO COMMON STOCK SAR 10,BKBF694,4321,TADAWUL,1,31957
BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,B2RLCR0,8210,TADAWUL,1,2526
YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,B03MZJ6,YKBNK,BIST,1,165133
OOREDOO QPSC COMMON STOCK QAR 1,6158174,OOREDOO,KSE,1,60427
TECOM GROUP PJSC COMMON STOCK AED,BLDC8Q1,TECOM,DFM,1,234111
AVI LTD COMMON STOCK ZAR 5,6040958,AVI,JSE,1,30154
MOTUS HOLDINGS LTD COMMON STOCK ZAR,BDRN3H0,MTH,JSE,1,30065
ADNOC LOGISTICS & SERVICES COMMON STOCK AED,BRBN103,ADNOCLS,ADX,1,133931
ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,B128FF8,4200,TADAWUL,1,4570
NOVATEK PJSC COMMON STOCK RUB 0.1,2H6464S,,ALOR,1,"1,268,490"
NOVATEK PJSC COMMON STOCK RUB 0.1,0H5828S,,ALOR,1,"103,572"
ERSTE GROUP BANK AG COMMON STOCK EUR 0,5289837,0MJK,LSIN,1,2657
ARABIAN DRILLING CO COMMON STOCK SAR 10,BPNZYP9,2381,TADAWUL,1,3385
RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,B0704T9,0NXR,LSIN,1,5361
NOVATEK PJSC TOTAL,,NVTK,ALOR,1,"1,372,062"
NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,2H7675S,NLMK,ALOR,1,"3,657,350"
POLYUS PJSC COMMON STOCK RUB,2H7182S,PLZL,ALOR,1,"29,773"
ROSNEFT OIL CO PJSC COMMON STOCK RUB,2H7674S,,ALOR,1,"1,677,948"
ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,0H5827S,,ALOR,1,"2,041,744"
ROSNEFT OIL CO PJSC TOTAL,,ROSN,ALOR,1,"3,719,692"
ROSTELECOM PJSC COMMON STOCK RUB,0H5802S,RTKM,ALOR,1,"6,156,103"
SBERBANK OF RUSSIA PJSC,0H5855S,,ALOR,1,"2,355,925"
SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,0H5856S,,ALOR,1,"14,455,036"
SBERBANK OF RUSSIA PJSC TOTAL,,SBER,ALOR,1,"16,810,961"
SEVERSTAL PAO GDR USD,0H6368S,CHMF,ALOR,1,"552,780"
SISTEMA PJSFC COMMON STOCK RUB 0.09,0H5808S,AFKS,ALOR,1,"12,313,057"
TATNEFT PJSC COMMON STOCK RUB,0H5822S,,ALOR,1,"730,066"
TATNEFT PJSC PREFERENCE RUB 1,0H5816S,,ALOR,1,"571,359"
TATNEFT PJSC TOTAL,,TATN,ALOR,1,"1,301,425"
TCS GROUP HOLDING PLC GDR,0H6380S,TCSG,ALOR,1,"75,226"
VTB BANK PJSC COMMON STOCK RUB 0.01,0H5837S,VTBR,ALOR,1,"4,246,655"
X 5 RETAIL GROUP NV-REGS GDR,0H6365S,FIVE,ALOR,1,"275,182"
YANDEX NV COMMON STOCK USD 0.01,0H6379S,YDEX,ALOR,1,"169,819"
