Security Description,Issuer,Security No.,Symbol,Exchange,Currency,Conv Rate
ABSA GROUP LTD,ABSA GROUP LTD,BFX05H3,ABG,JSE,ZAC,1
ABU DHABI COMMERCIAL BANK PJSC COMMON STOCK AED 1,ABU DHABI COMMERCIAL BANK PJSC,6545464,ADCB,ADX,AED,1
ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,ABU DHABI ISLAMIC BANK PJSC,6001728,ADIB,ADX,AED,1
ABU DHABI NATIONAL OIL CO FOR DISTRIBUTION PJSC COMMON STOCK AED 0.08,ABU DHABI NATIONAL OIL CO FOR DISTRIBUTION PJSC,BYVGM64,ADNOCDIST,ADX,AED,1
ADES HOLDING CO COMMON STOCK SAR 1,ADES HOLDING CO,BR56KM3,2382,TADAWUL,SAR,1
ADNOC DRILLING CO PJSC COMMON STOCK,ADNOC DRILLING CO PJSC,BN12D39,ADNOCDRILL,ADX,AED,1
ADNOC GAS PLC,ADNOC GAS PLC,BPJLW35,ADNOCGAS,ADX,AED,1
ADNOC LOGISTICS & SERVICES COMMON STOCK AED,ADNOC LOGISTICS & SERVICES,6H9334S,ADNOCLS,ADX,AED,1
ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,ADNOC LOGISTICS & SERVICES,BRBN103,ADNOCLS,ADX,AED,1
AKBANK TAS COMMON STOCK TRY 1,AKBANK TAS,B03MN70,AKBNK,BIST,TRY,1
AL ANSARI FINANCIAL SERVICES PJSC COMMON STOCK AED,AL ANSARI FINANCIAL SERVICES PJSC,BMWB101,ALANSARI,DFM,AED,1
AL RAJHI BANK COMMON STOCK SAR 10,AL RAJHI BANK,B12LZH9,1120,TADAWUL,SAR,1
ALDAR PROPERTIES PJSC COMMON STOCK AED 1,ALDAR PROPERTIES PJSC,B0LX3Y2,ALDAR,ADX,AED,1
ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,ALDREES PETROLEUM AND TRANSPORT SERVICES CO,B128FF8,4200,TADAWUL,SAR,1
ALINMA BANK COMMON STOCK SAR 10,ALINMA BANK,B39NWT3,1150,TADAWUL,SAR,1
ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,ALKHORAYEF WATER & POWER TECHNOLOGIES CO,BN33QN1,2081,TADAWUL,SAR,1
ALPHA BANK SA COMMON STOCK EUR 0.3,ALPHA BANK SA,BTJZ707,APHBF,OTC,USD,1
ALPHA SERVICES AND HOLDINGS SA COMMON STOCK,ALPHA SERVICES AND HOLDINGS SA,BZ1MXR7,0RCS,LSIN,EUR,1
ANGLO AMERICAN PLC COMMON STOCK GBP 0.54945,ANGLO AMERICAN PLC,B1XZS82,AAL,LSE,GBX,1
ANGLOGOLD ASHANTI LTD COMMON STOCK ZAR 25,ANGLOGOLD ASHANTI LTD,6565655,AU,NYSE,USD,1
ANGLOGOLD ASHANTI PLC ZAR,ANGLOGOLD ASHANTI PLC ZAR,BRF6FX9,AU,NYSE,USD,1
ANGLOGOLD ASHANTI PLC ZAR,ANGLOGOLD ASHANTI PLC ZAR,BRXH266,AU,NYSE,USD,1
ARAB NATIONAL BANK COMMON STOCK SAR 10,ARAB NATIONAL BANK,B12LZK2,1080,TADAWUL,SAR,1
ARABIAN CENTRES CO COMMON STOCK SAR 10,ARABIAN CENTRES CO,BKBF694,4321,TADAWUL,SAR,1
ARABIAN CONTRACTING SERVICES CO COMMON STOCK SAR,ARABIAN CONTRACTING SERVICES CO,BP4DC81,4071,TADAWUL,SAR,1
ARABIAN DRILLING CO COMMON STOCK SAR 10,ARABIAN DRILLING CO,BPNZYP9,2381,TADAWUL,SAR,1
ATHENS INTERNATIONAL AIRPORT SA COMMON STOCK EUR 1,ATHENS INTERNATIONAL AIRPORT SA,BPYS8N3,AIA,ATHEX,EUR,1
AVI LTD COMMON STOCK ZAR 5,AVI LTD,6040958,AVI,JSE,ZAC,1
BANCA TRANSILVANIA SA COMMON STOCK,BANCA TRANSILVANIA SA,5393307,0DP9,LSIN,RON,1
BANK OF CYPRUS HOLDINGS PLC COMMON STOCK EUR 0.1,BANK OF CYPRUS HOLDINGS PLC,BN2BZT5,318,GETTEX,EUR,1
BANK POLSKA KASA OPIEKI SA COMMON STOCK,BANK POLSKA KASA OPIEKI SA,5473113,0DP0,LSE,PLN,1
BENEFIT SYSTEMS SA COMMON STOCK PLN 1,BENEFIT SYSTEMS SA,B4XY9X2,0Q3J,LSE,PLN,1
BID CORP LTD COMMON STOCK ZAR,BID CORP LTD,BZBFKT7,BID,JSE,ZAC,1
BIDVEST GROUP LTD COMMON STOCK ZAR 5,BIDVEST GROUP LTD,6100089,BST,JSE,ZAC,1
BIM BIRLESIK MAGAZALAR AS COMMON STOCK,BIM BIRLESIK MAGAZALAR AS,B0D0006,BMSTL,BIST,TRY,1
BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,BUPA ARABIA FOR COOPERATIVE INSURANCE CO,B2RLCR0,8210,TADAWUL,SAR,1
CCC SA COMMON STOCK PLN 0.1,CCC SA,B04QR13,CCC,GPW,PLN,1
CLICKS GROUP LTD COMMON STOCK ZAR 1,CLICKS GROUP LTD,6105578,CLS,JSE,ZAC,1
CO FOR COOPERATIVE INSURANCE/THE COMMON STOCK SAR 10,CO FOR COOPERATIVE INSURANCE/THE,B128FN6,8010,TADAWUL,SAR,1
DETSKY MIR PJSC COMMON STOCK RUB 0.0004,DETSKY MIR PJSC,0H5850S,PRIVATE,PRIVATE,RUB,1
DISCOVERY LTD COMMON STOCK ZAR 0.1,DISCOVERY LTD,6177878,DSY,JSE,ZAC,1
DUBAI ELECTRICITY & WATER AU,DUBAI ELECTRICITY & WATER AU,BJLTVJ4,DEWA,DFM,AED,1
DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,DUBAI ISLAMIC BANK PJSC,6283452,DIB,DFM,AED,1
DUBAI TAXI CO PJSC COMMON STOCK AED 0.04,DUBAI TAXI CO PJSC,BQ7VXK8,DTC,DFM,AED,1
ELM CO COMMON STOCK SAR 10,ELM CO,BNYDSH8,7203,TADAWUL,SAR,1
EMAAR DEVELOPMENT PJSC COMMON STOCK AED 1,EMAAR DEVELOPMENT PJSC,BDG1977,EMAARDEV,DFM,AED,1
EMAAR PROPERTIES PJSC COMMON STOCK AED 1,EMAAR PROPERTIES PJSC,B01RM25,EMAAR,DFM,AED,1
EMIRATES INTEGRATED TELECOMMUNICATIONS CO PJSC COMMON STOCK AED 1,EMIRATES INTEGRATED TELECOMMUNICATIONS CO PJSC,B13TMN7,DU,DFM,AED,1
EMIRATES NBD BANK PJSC COMMON STOCK AED 1,EMIRATES NBD BANK PJSC,B28PFX8,EMIRATESNBD,DFM,AED,1
EMIRATES TELECOMMUNICATIONS GROUP CO PJSC COMMON STOCK AED 1,EMIRATES TELECOMMUNICATIONS GROUP CO PJSC,6322173,EAND,ADX,AED,1
ERSTE GROUP BANK AG COMMON STOCK EUR 0,ERSTE GROUP BANK AG,5289837,0MJK,LSIN,EUR,1
ETIHAD ETISALAT CO COMMON STOCK SAR 10,ETIHAD ETISALAT CO,B12LR51,7020,TADAWUL,SAR,1
EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA,BYZ43T4,0RCP,LSIN,EUR,1
EUROBANK SA COMMON STOCK EUR 0.22,EUROBANK SA,BW9DW63,EUROB,ATHEX,EUR,1
FERTIGLOBE PLC COMMON STOCK,FERTIGLOBE PLC,BMXCL70,FERTIGLB,ADX,AED,1
FIRST ABU DHABI BANK PJSC COMMON STOCK AED 1,FIRST ABU DHABI BANK PJSC,6624471,FAB,ADX,AED,1
FIRSTRAND LTD COMMON STOCK ZAR 1,FIRSTRAND LTD,6606996,FSR,JSE,ZAC,1
FIX PRICE GROUP LTD GDR,FIX PRICE GROUP LTD GDR,0H6372S,PRIVATE,PRIVATE,RUS,1
FIX PRICE GROUP LTD GDR,FIX PRICE GROUP LTD GDR,X84CF24,PRIVATE,PRIVATE,RUB,1
FORD OTOMOTIV SANAYI AS COMMON STOCK TRY 1,FORD OTOMOTIV SANAYI AS,B03MSR5,FROTO,BIST,TRY,1
FOSCHINI GROUP LTD/THE COMMON STOCK ZAR 1.25,FOSCHINI GROUP LTD/THE,6349688,F1WA,FWB,EUR,1
