,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding,Market Value
0,ABSA GROUP LTD,BFX05H3,ABG,JSE,ZAC,1,44158,375877.04
1,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,6001728,ADIB,ADX,AED,1,117334,515464.7
2,ADES HOLDING CO COMMON STOCK SAR 1,BR56KM3,2382,TADAWUL,SAR,1,108419,371655.55
3,ADNOC LOGISTICS & SERVICES COMMON STOCK AED 1.983,BRBN103,ADNOCLS,ADX,AED,1,420883,500624.93
4,AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,1120,TADAWUL,SAR,1,54131,1161252.36
5,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,B0LX3Y2,ALDAR,ADX,AED,1,284413,530433.75
6,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,B128FF8,4200,TADAWUL,SAR,1,7079,220251.89
7,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,BN33QN1,2081,TADAWUL,SAR,1,8779,267799.4
8,ALPHA BANK SA COMMON STOCK EUR 0.3,BTJZ707,APHBF,OTC,USD,1,108243,323306.19
9,ANGLOGOLD ASHANTI PLC ZAR,BRXH266,AU,NYSE,USD,1,3753,194355.61
10,ARAB NATIONAL BANK COMMON STOCK SAR 10,B12LZK2,1080,TADAWUL,SAR,1,41881,206041.75
11,ARABIAN CENTRES CO COMMON STOCK SAR 10,BKBF694,4321,TADAWUL,SAR,1,69157,305562.57
12,ATHENS INTERNATIONAL AIRPORT SA COMMON STOCK EUR 1,BPYS8N3,AIA,ATHEX,EUR,1,21418,188530.63
13,BANK OF CYPRUS HOLDINGS PLC COMMON STOCK EUR 0.1,BN2BZT5,318,GETTEX,EUR,1,43960,307401.54
14,BENEFIT SYSTEMS SA COMMON STOCK PLN 1,B4XY9X2,0Q3J,LSE,PLN,1,548,354361.03
15,CCC SA COMMON STOCK PLN 0.1,B04QR13,CCC,GPW,PLN,1,3540,110257.48
16,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,6283452,DIB,DFM,AED,1,184728,363660.0
17,ELM CO COMMON STOCK SAR 10,BNYDSH8,7203,TADAWUL,SAR,1,1247,238662.24
