,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding Jun24,Market Value,SP JPM,SP Jun24,SP Today,fx gbp jun 24,fx gbp today,SP Jun 24 GBP,Error
0,THE SAUDI NATIONAL BANK,BSHYYN1,1180,TADAWUL,SAR,1,81271.0,628932.02,7.738701627886947,36.25,36.849998,0.2087,0.2015,7.5653749999999995,0.022397378296942307
1,AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,1120,TADAWUL,SAR,1,32585.0,559299.16,17.164313641245972,80.0,89.099998,0.2087,0.2015,16.695999999999998,0.027284146108855337
2,FIRSTRAND LTD COMMON STOCK ZAR 1,6606996,FSR,JSE,ZAR,1,164763.0,548770.63,3.3306666545280192,7693.0,8446.0,0.04302,0.04275,3.3095286,0.006346493576378184
3,JPM GBP LIQUIDITY LVNAV X (DIST.),5819115,GBPGBP,FX_IDC,GBP,1,514330.73,514330.73,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,SBK,JSE,ZAR,1,47354.0,432459.13,9.132473075136208,21083.0,23642.0,0.04302,0.04275,9.069906600000001,0.006850989279842265
5,SAUDI ARABIAN OIL CO COMMON STOCK SAR,BJTM270,2222,TADAWUL,SAR,1,73566.0,429693.66,5.840927330560313,27.9,27.75,0.2087,0.2015,5.82273,0.0031154865538393015
6,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,6148197,QNBK,QSE,QAR,1,117376.0,372586.75,3.174300964422028,14.65,15.59,0.21706,0.20957,3.179929,0.0017729999899352997
7,GOLD FIELDS LTD COMMON STOCK ZAR 50,6280215,GFI,NYSE,USD,1,31177.0,369289.12,11.844921576803413,14.9,16.66,0.79054,0.76387,11.779046000000001,0.00556150383742685
8,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,B03NGS5,PKO,PSECZ,CZK,1,29624.0,366558.54,12.373701728328381,362.89999,333.79999,0.033726,0.033927,12.23916506274,0.010872790418114973
9,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,B01RM25,EMAAR,DFM,AED,1,200673.0,351812.27,1.7531619600045847,8.2,8.47,0.21482,0.2075,1.7615239999999999,0.004769690528417189
10,EMIRATES NBD BANK PJSC COMMON STOCK AED 1,B28PFX8,EMIRATESNBD,DFM,AED,1,94036.0,334176.36,3.5537066655323493,16.5,19.450001,0.21482,0.2075,3.54453,0.002582279967380096
11,SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,ZAR,1,95185.0,333606.75,3.50482481483427,8091.0,8449.0,0.04302,0.04275,3.4807482000000003,0.006869562989957373
12,NASPERS LTD COMMON STOCK ZAR 2,BN0VX82,NPN,JSE,ZAR,1,2142.0,330995.51,154.52638188608776,356720.0,367448.0,0.04302,0.04275,153.460944,0.00689486075505967
13,ALINMA BANK COMMON STOCK SAR 10,B39NWT3,1150,TADAWUL,SAR,1,49901.0,327243.99,6.557864371455482,31.1,32.849998,0.2087,0.2015,6.49057,0.010261629037098595
14,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,B1KDG41,HSBK,LSIN,USD,1,22007.0,312669.66,14.207736629254327,17.98,18.200001,0.79054,0.76387,14.213909200000002,0.00043445137721405527
