SEDOL,Quantity
6545464,1030804
BN12D39,2225680
B03MN70,360828
B403QG4,9987
B12LZH9,320274
B0LX3Y2,765014
BMBQDF6,90590
BZ1MXR7,1423484
6761000,101
B1YW0L9,26415
BRF6FX9,90819
BZBFKT7,31499
B0D0006,113669
B2RLCR0,12713
6440859,26523
BD0YVN2,13580
BLGM738,21084
B01RM25,744743
6322173,409997
B12LR51,197907
6624471,484421
6606996,1108139
B59L4L7,824340
BC9ZH86,64449
B5B1TX2,1509800
6280215,175778
B03N0C7,290585
B1FFT76,228434
6673570,178451
BN4N9C0,53688
7243530,55410
5263251,56314
B03MVJ8,174104
4519449,44816
6503138,196659
BD5ZXH8,63789
B9GFHQ6,86875
BYXW419,30465
6563206,199835
BN0VX82,27107
BG087C6,75367
6889526,1109683
6628008,45833
B59SNS8,72519
B59HPK1,107150
7320154,46369
BNC0DB0,280371
B03NGS5,141250
B63DG21,147630
6148197,795213
B12LZW4,112592
B3C8VY3,197368
BJTM270,360592
B12LSY7,121258
B1324D0,173192
BMZQ749,33425
B12M7Q5,287416
4767981,1374068
6801575,100821
B128FN6,7160
BSHYYN1,374393
B03MYN3,124340
BNGCVY1,572570
B03MZJ6,809808
