symbol,isin,winding_down,auditable,audit_link
3IN,JE00BF5FX167,,FALSE,
AGVI,GB00BPJMQ253,,TRUE,https://www.aberforth.co.uk/trusts-and-funds/aberforth-geared-value-income-trust-plc/the-portfolio#Portfolio%20Holdings
ASL,GB0000066554,,TRUE,https://www.aberforth.co.uk/trusts-and-funds/aberforth-smaller-companies-trust-plc/portfolio
AAIF,GB00B0P6J834,,TRUE,https://www.asian-income.co.uk/en-gb/literature?tab=3
ADIG,GB0001297562,TRUE,TRUE,https://www.abrdndiversified.co.uk/en-gb/literature?tab=3
AEI,GB0006039597,,TRUE,https://www.abrdnequityincome.com/en-gb/literature?tab=3
ASLI,GB00BD9PXH49,TRUE,FALSE,
ANII,GB0006048770,,TRUE,https://www.abrdnnewindia.co.uk/en-gb/literature?tab=3
API,GB0033875286,TRUE,FALSE,
AUSC,GB0002959582,,TRUE,https://www.abrdnuksmallercompaniesgrowthtrust.co.uk/en-gb/literature?tab=3
AEWU,GB00BWD24154,,FALSE,
AADV,GB0004832472,,FALSE,
AAEV,GB00B1G3LR35,,FALSE,
AATG,GB0005581672,,FALSE,
AAVC,GB0002039625,,FALSE,
ATST,GB00B11V7W98,,TRUE,https://www.alliancetrust.co.uk/investor-information
ATT,GB00BNG2M159,,TRUE,https://www.allianztechnologytrust.com/en-gb/performance-and-updates/performance-commentary-and-portfolio#889508e4-8348-4f9e-b395-35cb6657dfe7_2
ARTL,GB00B13VDP26,,FALSE,
AIRE,GB00BDVK7088,,FALSE,
ALF,GG00BYRGPD65,,FALSE,
AA4,GG00BNDVLS54,,FALSE,
APAX,GG00BWWYMV85,,FALSE,
AEET,GB00BN6JYS78,TRUE,FALSE,
AERS,GB00BK6RLF66,,FALSE,
ATS,GB0004355946,,TRUE,
AIE,GB00BF50VS41,,TRUE,
AWEM,GB00BMZR7D19,,TRUE,
DGN,GB0002945029,,TRUE,
ATY,GB0000609296,,TRUE,
ROOF,GB00BN497V39,,FALSE,
AUGM,GB00BG12XV81,,FALSE,
ARR,GB0000633262,,TRUE,
BGCG,GB0003656021,,TRUE,
BGEU,GB00BMC7T380,,TRUE,
BGFD,GB0000485838,,TRUE,
BGS,GB00BFXYH242,,TRUE,
BGUK,GB0007913485,,TRUE,
USA,GB00BDFGHW41,,TRUE,
BSRT,GG00B6686L20,,FALSE,
BCPT,GG00B4ZPCJ00,,FALSE,
BNKR,GB00BN4NDR39,,TRUE,
BEMO,GB0032273343,,TRUE,
BMD,GB0030028103,,FALSE,
BVT,GB0002631934,,FALSE,
BBGI,LU0686550053,,FALSE,
BBH,GB00BZCNLL95,,TRUE,
BPCR,GB00BDGKMY29,,TRUE,
BPCP,GB00BDGKMY29,,TRUE,
BIOG,GB0000385517,,TRUE,
BERI,GB00B0N8MF98,,TRUE,
BRFI,GB00B3SXM832,,TRUE,
BRGE,GB00B01RDH75,,TRUE,
BRIG,GB0030961691,,TRUE,
BRLA,GB0005058408,,TRUE,https://www.blackrock.com/uk/literature/policies/brlait-portfolio-disclosure.pdf
BRSC,GB0006436108,,TRUE,
BRSA,GB00B7W0XJ61,,TRUE,
THRG,GB0008910555,,TRUE,
BGLP,JE00BSMSML25,TRUE,FALSE,
BLU,,,FALSE,
BSIF,GG00BB0RDB98,,FALSE,
BGHS,GG00B39VMM07,TRUE,FALSE,
BAF,GB0000653112,,TRUE,
BSV,GB0001403152,,FALSE,
BSC,GB0005001796,,FALSE,
BASC,GB0003463402,,TRUE,
BUT,GB0001490001,,TRUE,
CLDN,GB0001639920,,TRUE,https://www.caledonia.com/our-strategy/public-companies/#capital
CGI,,,TRUE,https://www.mmainvestments.com/closed-end-funds/cgi
CFCP,,,FALSE,
CGT,GB0001738615,,TRUE,
CGL,GG00BMWWJM28,,FALSE,
CCJI,GB00BYSRMH16,,TRUE,https://ccjapanincomeandgrowthtrust.com/performance/top-10-holdings
BFMDJH1,GG00BFMDJH11,,FALSE,
SDV,GB0006615826,,TRUE,
TORO,GG00BWBSDM98,,FALSE,
CHRY,GG00BGJYPP46,,FALSE,
CTY,GB0001990497,,TRUE,https://www.janushenderson.com/en-gb/uk-investment-trusts/trust/the-city-of-london-investment-trust-plc/portfolio/
CORD,GG00BMC7TM77,,FALSE,
CSRD,,,FALSE,
CYN,GB0000353929,,TRUE,
NCYF,JE00B1LZS514,,FALSE,
CRS,GG00B1Z2SL48,,FALSE,
CMPG,GB00B2PP2527,,TRUE,
CMPI,GB00B2PP3J36,,TRUE,
CTPE,GB0030738271,,FALSE,
CTUK,GB0003463287,,TRUE,
CHIB,GB00B1N4H594,,TRUE,
CHI,GB00B1N4G299,,TRUE,
CREI,GB00BJFLFT45,,FALSE,
CVCG,JE00B9MRHZ51,,FALSE,
DVNO,GB00BD0ND667,,FALSE,
DGI9,JE00BMDKH437,TRUE,FALSE,
DIVI,GB00B65TLW28,,TRUE,
DNA3,GG00B92LHN58,,FALSE,
DNA2,GG00BMWCCD46,,FALSE,
DORE,GB00BLF7PP25,,FALSE,
DSM,GB00BF0SCX52,TRUE,FALSE,
DPA,GG00BBP6HP33,,FALSE,
DNE,GB0005776561,TRUE,FALSE,
DIG,GB0003406096,,TRUE,
EGL,GB00BD3V4641,,FALSE,
RNEP,GB00BLPK4430,,FALSE,
EDIN,GB0003052338,,TRUE,
EWI,GB00BHSRZC82,,FALSE,
EJFI,JE00BF0D1M25,,FALSE,
ESO,BMG3163K1053,,FALSE,
EAT,GB00BHJVQ590,,TRUE,
EOT,GB0000197722,,TRUE,
FCIT,GB0003466074,,TRUE,
FAS,GB0003322319,,TRUE,
FCSS,GB00B62Z3C74,,TRUE,
FEML,GG00B4L0PD47,,TRUE,
FEV,GB00BK1PKQ95,,TRUE,
FJV,GB0003328555,,TRUE,
FSV,GB00BWXC7Y93,,TRUE,
FGT,GB0007816068,,TRUE,
FTF,GB00B07YBS95,,FALSE,
JLEN,GG00BJL5FH87,,FALSE,
FWT,GB00BKF2JH04,,FALSE,
FSFL,JE00BD3QJR55,,FALSE,
FTV,GB00B68K3716,,FALSE,
GMP,GB00BD8P0741,,FALSE,
GABI,JE00BMFX6989,TRUE,FALSE,
GCP,JE00B6173J15,,FALSE,
GCL,GB00B15FW330,,TRUE,
GOT,GB0033862573,,FALSE,
GPM,GG00B1G9T992,,TRUE,
GSF,GB00BG0P0V73,,FALSE,
GRP,IE00BF2NR112,,FALSE,
UKW,GB00B8SC6K54,,FALSE,
GRID,GB00BFX3K770,,FALSE,
GV1A,GB00B4L13999,TRUE,FALSE,
GV2A,GB00B4KWC525,,FALSE,
GV2O,GB00B43GVJ82,TRUE,FALSE,
GV1O,GB00B4M2G812,TRUE,FALSE,
GRIO,GB00B715WG26,TRUE,FALSE,
GVCT,GB00BQD0HG35,,FALSE,
GIF,IM00B1Z40704,,TRUE,
HAN,BMG428941162,,TRUE,
HANA,BMG428941089,,TRUE,
HVPE,GG00BR30MJ80,,TRUE,
HHV,GB00B02WHS05,,TRUE,
HEIT,GB00BLNNFY18,,FALSE,
HET,GB00BLSNGB01,,TRUE,
HFEL,JE00B1GXH751,,TRUE,
HHI,GB0009580571,,TRUE,https://www.janushenderson.com/en-gb/uk-investment-trusts/trust/henderson-high-income-trust-plc/portfolio/
HINT,GB00B3PHCS86,,TRUE,
HOT,GB00BSHRGN41,,TRUE,
HSL,GB0009065060,,TRUE,
HRI,GB0004228648,,TRUE,https://heralduk.com/portfolio-company/?fund=herald-investment-trust
HICL,GB00BJLP1Y77,,FALSE,
HOME,GB00BJP5HK17,TRUE,FALSE,
HGEN,GB00BL6K7L04,,TRUE,
ICGT,GB0003292009,,FALSE,
LBOW,GG00B8C23S81,TRUE,FALSE,
IHR,GB00BYXVMJ03,,FALSE,
IEM,GB0031232498,,TRUE,
IGV,GB00B29BN198,,FALSE,
IBT,GB0004559349,,FALSE,
INPP,GB00B188SR50,,FALSE,
IIG,GB00BPTH6Y20,,FALSE,
IAT,GB0004535307,,TRUE,
BIPS,JE00B6RMDP68,,FALSE,
IGET,GB00B1DQ6472,,TRUE,
IPU,GB00B1FL3C76,,TRUE,
INV,GB0004658257,,TRUE,
JADE,VGG4S09E1053,,FALSE,
JPEL,GG00BS82YQ75,TRUE,FALSE,
JAM,GB00BKZGVH64,,TRUE,
JAGI,GB0001320778,,TRUE,
JCGI,GB0003435012,,TRUE,
JCH,GB0003422184,,TRUE,
JEMA,GB0032164732,,TRUE,
JMG,GB00BMXWN182,,TRUE,
JEDT,GB00BMTS0Z37,,TRUE,
JEGI,GB00BPR9Y246,,TRUE,
JARA,GG00BJVKW831,,FALSE,
JEMI,GB00B5ZZY915,,TRUE,
JGGI,GB00BYMKY695,,TRUE,
JII,GB0003450359,,TRUE,
JSGI,GB0003165817,,TRUE,
JFJ,GB0001740025,,TRUE,
JUGI,GB00BF7L8P11,,TRUE,
JUSC,GB00BJL5F346,,TRUE,
JGC,GB00B120GL77,,TRUE,
JZCP,GG00BT3MVL31,TRUE,FALSE,
KPC,GB00BK96BB68,,TRUE,
LWDB,GB0031429219,,TRUE,
LABS,GB00BP5X4Q29,,FALSE,
LSAA,GB00BF1Q4B05,,FALSE,
LTI,GB0031977944,,TRUE,
BOOK,GB00BMF1L080,,FALSE,
LFI,,,FALSE,
LWI,GB00BNXGHS27,,TRUE,
MGCI,GB00BFYYL325,,FALSE,
MPO,GG00BGDYFV61,,FALSE,
MAJE,GB0005555221,,FALSE,
MNL,GB0002258472,,TRUE,
MNP,GB0005372411,,TRUE,
MVR2,KYG5897M2326,,FALSE,
MVIR,KYG5897M2326,,FALSE,
MVI,KYG5897M1740,,FALSE,
MAV4,GB00B043QW84,,FALSE,
MIG5,GB0002057536,,FALSE,
MIG1,GB0004122858,,FALSE,
MIG3,GB0031153769,,FALSE,
MHN,GB00BZ0XWD04,,TRUE,
MRC,GB00BF4JDH58,,TRUE,
MRCH,GB0005800072,,TRUE,
MWY,GB00B6VTTK07,,TRUE,
MCT,GB00B15PV034,,TRUE,
MIGO,GB0034365949,,TRUE,
MINI,GB00BWFGQ085,,TRUE,
MIX,GB00B01WL239,,TRUE,
MMIT,GB00BFZ7R980,,TRUE,
GROW,GB00BY7QYJ50,,FALSE,
MVCT,GB0002867140,,FALSE,
MNKS,GB0030517261,,TRUE,
MTE,GB00BM8H3X05,,TRUE,
MTU,GB00BZ1H9L86,,TRUE,
MUT,GB0006111123,,TRUE,
MYI,GB00BQZCCB79,,TRUE,
NBDX,GG00BR88RQ95,,FALSE,
NBDG,GG00BNTXRB08,,FALSE,
NBPE,GG00B1ZBD492,,FALSE,
NSI,GB0002631041,,TRUE,
NESF,GG00BJ0JVY01,,FALSE,
NAVF,GB00BKLGLS10,,TRUE,https://www.nipponactivevaluefund.com/factsheet-archive/
