sedol,isin,figi,name,ticker,exchange,type,sector
6545464,,BBG000DKRVC9,ABU DHABI COMMERCIAL BANK,ADCB,UH,Common Stock,Equity
BN12D39,,BBG00M6JJSK9,ADNOC DRILLING CO PJSC,ADNOCDRI,UH,Common Stock,Equity
B03MN70,,BBG000BV9XY9,AKBANK T.A.S.,AKBNK,TI,Common Stock,Equity
B403QG4,,BBG000M294S2,MOUWASAT MEDICAL SERVICES CO,MOUWASAT,AB,Common Stock,Equity
B12LZH9,,BBG000FBK1L0,AL RAJHI BANK,RJHI,AB,Common Stock,Equity
B0LX3Y2,,BBG000BB4YW8,ALDAR PROPERTIES PJSC,ALDAR,UH,Common Stock,Equity
BMBQDF6,,BBG00XC93616,ALLEGRO.EU SA,ALE,PW,Common Stock,Equity
BZ1MXR7,,BBG000BQZJ27,ALPHA SERVICES AND HOLDINGS,ALPHA,GA,Common Stock,Equity
6761000,,BBG000BTXNT5,ANGLO AMERICAN PLATINUM LTD,AMS,SJ,Common Stock,Equity
B1YW0L9,,BBG000BV7Q30,ANGLO AMERICAN PLC,AGL,SJ,Common Stock,Equity
BRF6FX9,,BBG01J9GQZJ6,ANGLOGOLD ASHANTI PLC,ANG,SJ,Common Stock,Equity
BZBFKT7,,BBG00CP99BP5,BID CORP LTD,BID,SJ,Common Stock,Equity
B0D0006,,BBG000BWQN43,BIM BIRLESIK MAGAZALAR AS,BIMAS,TI,Common Stock,Equity
B2RLCR0,,BBG000RRTJG0,BUPA ARABIA FOR COOPERATIVE,BUPA,AB,Common Stock,Equity
6440859,,BBG000D4HYB1,CAPITEC BANK HOLDINGS LTD,CPI,SJ,Common Stock,Equity
BD0YVN2,,BBG00G59T6C1,DINO POLSKA SA,DNP,PW,Common Stock,Equity
BLGM738,,BBG00QG4RJ32,DR SULAIMAN AL HABIB MEDICAL,SULAIMAN,AB,Common Stock,Equity
B01RM25,,BBG000BV4SB0,EMAAR PROPERTIES PJSC,EMAAR,UH,Common Stock,Equity
6322173,,BBG000C0ZM17,EMIRATES TELECOM GROUP CO,EAND,UH,Common Stock,Equity
B12LR51,,BBG000GCBLL3,ETIHAD ETISALAT CO,EEC,AB,Common Stock,Equity
6624471,,BBG000DHGTK4,FIRST ABU DHABI BANK PJSC,FAB,UH,Common Stock,Equity
6606996,,BBG000BNTS67,FIRSTRAND LTD,FSR,SJ,Common Stock,Equity
B59L4L7,,BBG004730RP0,GAZPROM PJSC,GAZP,RM,Common Stock,Equity
