,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding
0,AL RAJHI BANK COMMON STOCK SAR 10,B12LZH9,1120,TADAWUL,SAR,1.0,35449
1,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,6148197,QNBK,QSE,QAR,1.0,142756
2,NASPERS LTD COMMON STOCK ZAR 2,BN0VX82,NPN,JSE,ZAC,1.0,2771
3,FIRSTRAND LTD COMMON STOCK ZAR 1,6606996,FSR,JSE,ZAC,1.0,143349
4,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,SBK,JSE,ZAC,1.0,40265
5,SAUDI ARABIAN OIL CO COMMON STOCK SAR,BJTM270,2222,TADAWUL,SAR,1.0,73566
6,GOLD FIELDS LTD COMMON STOCK ZAR 50,6280215,0QQ8,LSE,CHF,1.0,31177
7,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,B01RM25,EMAAR,DFM,AED,1.0,210406
8,THE SAUDI NATIONAL BANK,BSHYYN1,1180,TADAWUL,SAR,1.0,51456
9,OTP BANK NYRT COMMON STOCK HUF 100,7320154,OTP,PSECZ,CZK,1.0,8780
10,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,B03NGS5,0DP0,LSE,PLN,1.0,29624
11,JSC KASPI.KZ GDR-REG S,BJY21K1,KKS,FWB,EUR,1.0,3703
12,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,B1KDG41,HSBK,LSE,USD,1.0,22007
13,NOVA LJUBLJANSKA BANKA DD GDR EUR,BGRPD22,55VX,LSE,EUR,1.0,15105
14,EMIRATES NBD BANK PJSC COMMON STOCK AED 1,B28PFX8,EMIRATESNBD,DFM,AED,1.0,78089
15,NAC KAZATOMPROM JSC GDR USD,BGXQL36,KAP,LSE,USD,1.0,9790
16,RIYAD BANK COMMON STOCK SAR 10,B12LZW4,1010,TADAWUL,SAR,1.0,54728
17,ALINMA BANK COMMON STOCK SAR 10,B39NWT3,1150,TADAWUL,SAR,1.0,49901
18,ABU DHABI COMMERCIAL BANK PJSC COMMON STOCK AED 1,6545464,ADCB,ADX,AED,1.0,148768
19,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,X84C974,,,,1.0,362649
20,LUKOIL PJSC COMMON STOCK RUB,X84D1F5,,,,1.0,262047
21,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,6801575,HY7,JSE,ZAC,1.0,19991
22,ELM CO COMMON STOCK SAR 10,BNYDSH8,7203,TADAWUL,SAR,1.0,1247
23,SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,ZAC,1.0,68294
24,ABSA GROUP LTD,BFX05H3,ABG,JSE,ZAC,1.0,35367
25,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,6410562,0J39,LSE,USD,1.0,31227
26,BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,BF4HYT8,BGEO,LSE,GBX,1.0,6209
27,TBC BANK GROUP PLC COMMON STOCK GBP 1,BYT1830,TBCG,LSE,GBX,1.0,9176
28,RICHTER GEDEON NYRT COMMON STOCK HUF 100,BC9ZH86,0QFP,LSE,HUF,1.0,11178
29,ADNOC GAS PLC,BPJLW35,ADNOCGAS,ADX,AED,1.0,355644
30,BANK POLSKA KASA OPIEKI SA COMMON STOCK PLN 1,5473113,0DP0,LSE,PLN,1.0,9088
31,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,6001728,ADIB,ADX,AED,1.0,88181
32,DUBAI ELECTRICITY & WATER AU,BJLTVJ4,DEWA,DFM,AED,1.0,458472
33,ADNOC DRILLING CO PJSC COMMON STOCK AED,BN12D39,ADNOCDRILL,ADX,AED,1.0,222461
34,BIDVEST GROUP LTD/THE COMMON STOCK ZAR 5,6100089,BST,JSE,ZAC,1.0,18156
35,GAZPROM PJSC COMMON STOCK RUB,X8C529A,,,,1.0,8860909
36,GAZPROM PJSC ADR,X84C976,,,,1.0,5365084
37,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,BG087C6,0RCR,LSIN,EUR,1.0,36078
38,JUMBO SA COMMON STOCK EUR 0.88,7243530,0LRI,LSIN,EUR,1.0,10435
39,TURKCELL ILETISIM HIZMET AS,B03MYN3,TCELL,BIST,TRY,1.0,112308
40,SAUDI TELECOM CO COMMON STOCK,B12M7Q5,7010,TADAWUL,SAR,1.0,24635
41,PARKIN CO PJSC COMMON STOCK AED 0.02,BRRGQF6,PARKIN,DFM,AED,1.0,234924
42,BIM BIRLESIK MAGAZALAR AS COMMON STOCK TRY 1,B0D0006,BMSTL,BIST,TRY,1.0,19988
43,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,X8C6155,,,,1.0,14455036
44,SBERBANK OF RUSSIA PJSC,X8C6398,,,,1.0,2355925
45,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,BYZ43T4,0RCP,LSIN,EUR,1.0,127190
46,METLEN ENERGY & METALS SA COMMON STOCK EUR 0.97,5898664,0KAZ,LSIN,EUR,1.0,7396
47,LPP SA COMMON STOCK PLN 2,7127979,0LVL,LSE,PLN,1.0,71
48,POWSZECHNY ZAKLAD UBEZPIECZEN SA COMMON STOCK PLN 0.1,B63DG21,,,,1.0,25733
49,SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,SAR,1.0,27398
50,SALIK CO PJSC COMMON STOCK AED 0.01,BJN5952,SALIK,DFM,AED,1.0,187852
51,SAUDIA DAIRY & FOODSTUFF CO COMMON STOCK SAR 10,B133P41,,,,1.0,2568
52,DUBAI ISLAMIC BANK PJSC COMMON STOCK AED 1,6283452,DIB,DFM,AED,1.0,144384
53,ALDAR PROPERTIES PJSC COMMON STOCK AED 1,B0LX3Y2,ALDAR,ADX,AED,1.0,118206
54,PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,BNC0DB0,0RTY,LSIN,EUR,1.0,63663
55,AKBANK TAS COMMON STOCK TRY 1,B03MN70,AKBNK,BIST,TRY,1.0,156965
56,LEEJAM SPORTS CO JSC COMMON STOCK SAR 10,BF12ZV5,1830,TADAWUL,SAR,1.0,4537
57,MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,4577469,0NUG,LSE,HUF,1.0,74864
58,QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,B0MLBC9,QGTS,QSE,QAR,1.0,196322
59,CO FOR COOPERATIVE INSURANCE/THE COMMON STOCK SAR 10,B128FN6,,,,1.0,6082
60,MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,BD5ZXH8,0RUK,LSIN,HUF,1.0,32435
61,TURK HAVA YOLLARI AO COMMON STOCK TRY 1,B03MYK0,THYAO,BIST,TRY,1.0,27950
62,UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,B2493D0,4260,TADAWUL,SAR,1.0,9725
63,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,BNBPXW7,4142,TADAWUL,SAR,1.0,8057
64,SAUDI ARAMCO BASE OIL CO COMMON STOCK SAR 10,BMDKMB5,2223,TADAWUL,SAR,1.0,7008
65,ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,BZ1MXR7,0RCS,LSIN,EUR,1.0,145289
66,ERSTE GROUP BANK AG COMMON STOCK EUR 0,5289837,0MJK,LSIN,EUR,1.0,3863
67,TUPRAS-TURKIYE PETROL RAFINE,B03MYT9,TUPRS,BIST,TRY,1.0,50663
68,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,BRBN103,ADNOCLS,ADX,AED,1.0,133931
69,GRUPA KETY SA COMMON STOCK PLN 2.5,5216385,,,,1.0,1238
70,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,5051605,0FIZ,LSIN,EUR,1.0,12548
71,ADES HOLDING CO COMMON STOCK SAR 1,BR56KM3,2382,TADAWUL,SAR,1.0,39150
72,TECOM GROUP PJSC COMMON STOCK AED,BLDC8Q1,TECOM,DFM,AED,1.0,234111
73,KRUK SA COMMON STOCK PLN 1,B4PTLY0,0Q3Y,LSIN,PLN,1.0,1892
74,MOTUS HOLDINGS LTD COMMON STOCK ZAR,BDRN3H0,MTH,JSE,ZAC,1.0,30065
75,BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,B2RLCR0,8210,TADAWUL,SAR,1.0,3695
76,MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,5996234,0MQT,LSIN,EUR,1.0,9203
77,ALKHORAYEF WATER & POWER TECHNOLOGIES CO COMMON STOCK SAR 10,BN33QN1,2081,TADAWUL,SAR,1.0,4593
78,KOMERCNI BANKA AS COMMON STOCK CZK 100,4519449,0IKH,LSIN,CZK,1.0,5652
79,OPAP SA COMMON STOCK EUR 0.3,7107250,0FI1,LSIN,EUR,1.0,11282
80,FOSCHINI GROUP LTD/THE COMMON STOCK ZAR 1.25,6349688,,,,1.0,22044
81,OOREDOO QPSC COMMON STOCK QAR 1,6158174,OOREDOO,KSE,KWF,1.0,60427
82,AVI LTD COMMON STOCK ZAR 5,6040958,AVI,JSE,ZAC,1.0,30154
83,SARANTIS SA EUR1.53,7124958,,,,1.0,15514
84,YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,B03MZJ6,YKBNK,BIST,TRY,1.0,257214
85,NOVATEK PJSC COMMON STOCK RUB 0.1,X84C972,,,,1.0,1268490
86,NOVATEK PJSC COMMON STOCK RUB 0.1,X84C970,,,,1.0,103572
87,ARABIAN CENTRES CO COMMON STOCK SAR 10,BKBF694,4321,TADAWUL,SAR,1.0,31957
88,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,X84C977,,,,1.0,7119200
89,TURKIYE SIGORTA AS COMMON STOCK TRY 1,B03MTD8,RAYSG,BIST,TRY,1.0,453680
90,BANCA TRANSILVANIA SA COMMON STOCK RON 1,5393307,0DP9,LSIN,RON,1.0,27608
91,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,B128FF8,4200,TADAWUL,SAR,1.0,4570
92,TURKIYE GARANTI BANKASI AS COMMON STOCK TRY 1,B03MYP5,,,,1.0,53407
93,ARABIAN DRILLING CO COMMON STOCK SAR 10,BPNZYP9,2381,TADAWUL,SAR,1.0,5574
94,RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,B0704T9,0NXR,LSIN,EUR,1.0,8660
95,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,X84C971,,,,1.0,2041744
96,ROSNEFT OIL CO PJSC COMMON STOCK RUB,X84D1F9,,,,1.0,1677948
97,CLICKS GROUP LTD COMMON STOCK ZAR 1,6105578,CLS,JSE,ZAC,1.0,4083
98,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,X84C97E,,,,1.0,3657350
99,MAGNIT PJSC COMMON STOCK RUB 0.01,X8C505A,,,,1.0,180877
100,GAZPROM NEFT PJSC COMMON STOCK RUB,X84D1F6,,,,1.0,1265335
101,TATNEFT PJSC COMMON STOCK RUB,X84C973,,,,1.0,730066
102,TATNEFT PJSC PREFERENCE RUB 1,X8C6150,,,,1.0,571359
103,ROSTELECOM PJSC COMMON STOCK RUB,X84C978,,,,1.0,6156103
104,VTB BANK PJSC COMMON STOCK RUB 0.01,X8C6392,,,,1.0,4246654
105,POLYUS PJSC COMMON STOCK RUB,X84D1F8,,,,1.0,29773
106,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,X8C6397,,,,1.0,432517
107,SISTEMA PJSFC COMMON STOCK RUB 0.09,X84D1F7,,,,1.0,12313057
108,FIX PRICE GROUP LTD GDR,X84CF24,,,,1.0,577525
109,TCS GROUP HOLDING PLC GDR,X8C4FD3,,,,1.0,75226
110,X 5 RETAIL GROUP NV-REGS GDR,X8C4FD9,,,,1.0,275182
111,SEVERSTAL PAO GDR USD,X84C975,,,,1.0,552780
