,Security Description,Symbol,Exchange,Currency,Holding Jun24,SP Today lc,fx gbp today,SP Today GBP,nav gbp today
0,THE SAUDI NATIONAL BANK,1180,TADAWUL,SAR,81271.0,36.900002,0.2016,7.4390404032,604578.2526084672
1,AL RAJHI BANK COMMON STOCK SAR 10,1120,TADAWUL,SAR,32585.0,88.900002,0.2016,17.9222404032,583996.203538272
2,FIRSTRAND LTD COMMON STOCK ZAR 1,FSR,JSE,ZAR,164763.0,8350.0,0.04233,3.534555,582363.885465
3,JPM GBP LIQUIDITY LVNAV X (DIST.),GBPGBP,FX_IDC,GBP,514330.73,1.0,1.0,1.0,514330.73
4,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,SBK,JSE,ZAR,47354.0,23274.0,0.04233,9.851884199999999,466526.12440679997
5,SAUDI ARABIAN OIL CO COMMON STOCK SAR,2222,TADAWUL,SAR,73566.0,27.65,0.2016,5.57424,410074.53984
6,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,QNBK,QSE,QAR,117376.0,15.5,0.20969,3.2501949999999997,381494.88831999997
7,GOLD FIELDS LTD COMMON STOCK ZAR 50,GFI,NYSE,USD,31177.0,15.76,0.76415,12.043004,375464.735708
8,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,PKO,PSECZ,CZK,29624.0,333.79999,0.033809,11.285443861909998,334319.9889652218
9,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,EMAAR,DFM,AED,200673.0,8.46,0.20763,1.7565498000000002,352492.1180154
10,EMIRATES NBD BANK PJSC COMMON STOCK AED 1,EMIRATESNBD,DFM,AED,94036.0,19.85,0.20763,4.121455500000001,387565.1893980001
11,SANLAM LTD COMMON STOCK ZAR 1,SLM,JSE,ZAR,95185.0,8404.0,0.04233,3.5574132,338612.375442
12,NASPERS LTD COMMON STOCK ZAR 2,NPN,JSE,ZAR,2142.0,369363.0,0.04233,156.35135789999998,334904.60862179997
13,ALINMA BANK COMMON STOCK SAR 10,1150,TADAWUL,SAR,49901.0,32.299999,0.2016,6.5116797984,324939.33361995843
14,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,HSBK,LSIN,USD,22007.0,17.719999,0.76415,13.54073723585,297991.004349351
15,FIX PRICE GROUP LTD GDR,FIXP,ALOR,RUB,577525.0,198.4,0.008331,1.6528704,954573.97776
16,GAZPROM NEFT PJSC COMMON STOCK RUB,SIBN,ALOR,RUB,1265335.0,644.35,0.008331,5.36807985,6792419.31699975
17,OTP BANK NYRT COMMON STOCK HUF 100,0M69,LSIN,HUF,7639.0,12590.0,0.002153,27.10627,207064.79653
18,BANK POLSKA KASA OPIEKI SA COMMON STOCK PLN 1,0DP0,LSIN,PLN,9088.0,54.45,0.19771,10.7653095,97835.132736
