SEDOL,Name,Holding,Value,Weight
6545464,ABU DHABI COMMERCIAL BANK,1030804.0,1955699.432,0.0227
BN12D39,ADNOC DRILLING COMPANY,2225680.0,2395085.648,0.0278
B03MN70,AKBANK A,360828.0,413539.96799999994,0.0048
B403QG4,AL MOUWASAT MEDICAL SERVICES,9987.0,198154.568,0.0023
B12LZH9,AL RAJHI BANK,320274.0,5849867.464000001,0.0679
B0LX3Y2,ALDAR PROPERTIES,765014.0,1240619.9039999999,0.0144
SABMBQDF6,ALLEGRO,90590.0,620309.9519999999,0.0072
SABZ1MXR7,ALPHA SERVICES AND HOLDINGS,1423484.0,1662775.2879999997,0.019299999999999998
6761000,ANGLO AMERICAN PLATINUM LTD,101.0,0.0,0.0
PLCB1YW0L9,ANGLO AMERICAN,26415.0,628925.368,0.0073
PLCBRF6FX9,ANGLOGOLD ASHANTI,90819.0,1964314.8479999998,0.022799999999999997
LTDBZBFKT7,BID CORPORATION,31499.0,577232.872,0.0067
AB0D0006,BIM BIRLESIK MAGAZALAR,113669.0,1206158.24,0.013999999999999999
B2RLCR0,BUPA ARABIA,12713.0,534155.792,0.0062
6440859,CAPITEC LTD,26523.0,3704628.88,0.043
BD0YVN2,DINO POLSKA SA,13580.0,878772.432,0.0102
BLGM738,DR SULAIMAN AL HABIB MEDICAL GRP,21084.0,1249235.3199999998,0.014499999999999999
B01RM25,EMAAR PROPERTIES,744743.0,1369851.144,0.0159
6322173,EMIRATES TELECOM,409997.0,1542159.464,0.0179
B12LR51,ETIHAD ETISALAT,197907.0,2128007.7520000003,0.024700000000000003
6624471,FIRST ABU DHABI BANK,484421.0,1352620.3120000002,0.015700000000000002
6606996,FIRSTRAND LTD,1108139.0,3764936.7920000004,0.0437
B59L4L7,GAZPROM,824340.0,0.0,0.0
C9ZH86,GEDEON RICHTERB,64449.0,1447389.8879999998,0.0168
B5B1TX2,GMK NORILSKIY NIKEL,1509800.0,0.0,0.0
6280215,GOLD FIELDS LTD,175778.0,2248623.576,0.026099999999999998
AB03N0C7,HACI OMER SABANCI HOLDING,290585.0,551386.6240000001,0.0064
B1FFT76,IMPALA PLATINUM LTD,228434.0,1163081.1600000001,0.013500000000000002
6673570,INDUSTRIES QATAR,178451.0,508309.544,0.0059
BN4N9C0,INPOST SA,53688.0,818464.52,0.0095
