SEDOL,Name,Holding,Value,Weight
BP6KMJ1,Novo Nordisk,579927.0,50920925.0,0.076
B929F46,ASML,80044.0,49655384.0,0.0741
BYWLC68,RELX,1263981.0,44358698.0,0.0662
4834108,Schneider Electric,168565.0,33112735.0,0.049400000000000006
B119QG0,Partners Group,25859.0,29012815.0,0.0433
B058TZ6,Safran,162950.0,28620305.0,0.042699999999999995
BD6G507,Ferrari,81563.0,28481563.0,0.0425
5253973,Hermès,15413.0,28289440.0,0.042199999999999994
BNZHB81,Linde,72262.0,25675138.0,0.0383
5165294,ASM International,51714.0,25273986.0,0.0377
BF0L353,Allied Irish Banks (AIB),5508536.0,23557596.0,0.0351
BG0SCK9,BE Semiconductor,244817.0,23078264.0,0.0344
4061412,LVMH,40269.0,23067815.0,0.0344
BZ1HM42,Adyen,19494.0,22745974.0,0.0339
BNCBD46,IMCD,172269.0,22338068.0,0.0333
7333378,Lonza Group,47101.0,22245492.0,0.0332
BF2DSG3,Sika,89055.0,22037472.0,0.0329
BP0QDP8,Belimo,40446.0,21554519.0,0.0321
4057808,L'Oreal,55199.0,18462433.0,0.0275
4491235,Kingspan,257736.0,18066609.0,0.0269
BLDBN41,Atlas Copco,1221707.0,17647039.0,0.0263
5910609,Rational,18897.0,14480520.0,0.0216
B09M9D2,Kone,306427.0,13706228.0,0.0204
4497749,KBC Groep,222495.0,13217525.0,0.0197
B1KBGS9,ChemoMetec,264278.0,11987497.0,0.0179
BQ7ZV06,Straumann,94514.0,11543822.0,0.0172
BYZWMR9,VAT Group,23597.0,8982084.0,0.0134
BMD58R8,Epiroc,546087.0,8799693.0,0.0131
5962280,Lindt,616.0,5939514.0,0.0089
5633962,Nemetschek,46517.0,3591628.0,0.0054
4767981,Sberbank,5571392.0,446.0,0.0
BYZDW27,Lukoil,217567.0,18.0,0.0
9308590,AFAP,2250000.0,0.0,0.0
