SEDOL,Name,Holding,Value,Weight
B4T3BW6,Glencore,21852325.0,98575838.0,0.08199999999999999
6144690,BHP,3211088.0,72405556.0,0.06
9315284,BHP Brazil Royalty,12000000.0,19935132.0,0.017
0144403,BHP,58636.0,1326932.0,0.001
0718875,Rio Tinto,1442689.0,75019828.0,0.062
0161M94V3,Rio Tinto Plc P/Opt 19/07/24,-300.0,-332640.0,0.0
B1XZS82,Anglo American,2707836.0,67750057.0,0.055999999999999994
01HM7D1S4,Anglo American Plc C/Opt 19/07/24,-600.0,-492000.0,0.0
2352118,Freeport-McMoran,1586354.0,60989482.0,0.05
01LYCQ5C5,Freeport-McMoran IncP/Opt 19/07/24,-3000.0,-407009.0,0.0
2636607,Newmont,1737380.0,57491184.0,0.048
9346193,Vale,6387658.0,31295326.0,0.026000000000000002
2857334,Vale,2757301.0,24342599.0,0.02
01NGZRYH1,Vale S.A. C/Opt 19/07/24,-13000.0,-164544.0,0.0
2009823,Agnico Eagle Mines,1001112.0,51567613.0,0.043
2879327,Teck Resources,1195846.0,45179093.0,0.037000000000000005
B11HK39,Norsk Hydro,8882699.0,43887016.0,0.036000000000000004
BF13KN5,Wheaton Precious Metals,953851.0,39306547.0,0.033
2024677,Barrick Gold,2351620.0,31011396.0,0.026000000000000002
BD73C40,Ivanhoe Mines,2885809.0,29362762.0,0.024
2651086,Nucor,224204.0,28051661.0,0.023
9360493,Jetti Resources,260000.0,24237323.0,0.02
9363009,Jetti Resources Series D,10400.0,969493.0,0.001
BPF0KH6,Ivanhoe Electric,2229605.0,16332681.0,0.013000000000000001
9384589,Ivanhoe Electric,1107920.0,8115924.0,0.006999999999999999
2677929,Sociedad Minera Cerro Verde,691083.0,21321285.0,0.018000000000000002
2866857,Lundin Mining,2323081.0,20440695.0,0.017
10566M106,Bravo Mining,9017928.0,19811028.0,0.016
2823777,Southern Copper Corporation,230720.0,19668054.0,0.016
2158684,Cameco,500334.0,19465569.0,0.016
B29NF31,Franco-Nevada,204344.0,19095340.0,0.016
2849472,Steel Dynamics,132462.0,13571042.0,0.011000000000000001
BS2KWR4,Metals Acquisition Ltd,1299305.0,13193492.0,0.011000000000000001
BYPBS67,ArcelorMittal,722590.0,13092330.0,0.011000000000000001
6717456,Northern Star Resources,1887957.0,12966738.0,0.011000000000000001
BMY5XY9,Capstone Mining,2301077.0,12903857.0,0.011000000000000001
B03Z841,Kinross Gold,1834235.0,12056801.0,0.01
B8L02P3,Labrador Iron,703327.0,11815975.0,0.01
2355731,Foran Mining,4850656.0,10936585.0,0.009000000000000001
BNVQGB0,Develop Global,9337774.0,10705288.0,0.009000000000000001
BLD1SB3,Champion Iron,3159580.0,10683280.0,0.009000000000000001
2347608,First Quantum Minerals,973860.0,10089071.0,0.008
9361199,MCC Mining,421812.0,10010569.0,0.008
BPCTR42,Albemarle,260000.0,9430425.0,0.008
6957575,Iluka Resources,2626916.0,9090395.0,0.006999999999999999
BN7KJJ5,Endeavour Mining,514099.0,8565592.0,0.006999999999999999
01921DAA3,Allied Gold Corp 8.75% Deb 07/09/2028,10000000.0,7900008.0,0.006
6121176,Lynas Rare Earths,2302702.0,7214192.0,0.006
BZ7NDP2,Nickel Industries,16036603.0,6777939.0,0.006
BMGT167,Woodside Energy Group,433607.0,6462412.0,0.005
BNKJ1Y8,Sigma Lithium,692800.0,6408325.0,0.005
B17ZL56,Mineral Resources,216706.0,6173282.0,0.005
9384431,Lifezone Metals,1000000.0,6067558.0,0.005
BZ1C8Z0,Stelco Holdings,275357.0,5897949.0,0.005
BMDHMH2,Filo Mining,281700.0,4069769.0,0.003
B3NVP49,Sheffield Resource,22198711.0,4046151.0,0.003
B2368L5,Pilbara Minerals,2484577.0,4016698.0,0.003
BRXH266,AngloGold Ashanti Plc,186389.0,3702419.0,0.003
B05BDX1,Hudbay,508600.0,3631282.0,0.003
BPDXXB2,Firefly Metals,9134885.0,3595461.0,0.003
BMQ5701,Solaris Resources,1615025.0,3557303.0,0.003
0045614,Antofagasta,156409.0,3297102.0,0.003
BJP5T05,Deterra Royalties,1548668.0,3264574.0,0.003
BMZ1NS0,Northam Platinum,434065.0,2391993.0,0.002
B0ZGW28,Chalice Mining,2531820.0,1899400.0,0.002
B1FFT76,Impala Platinum,415892.0,1635464.0,0.001
BYP71K0,Titan Mining,7005979.0,911314.0,0.001
6259914,Equatorial Resources,3000000.0,213969.0,0.0
9363507,Bindura Nickel,3142789.0,31077.0,0.0
7947221,Australian Carbon,10700000.0,57.0,0.0
9360225,Victorian Hydrogen & Ammonia Industry,7490000.0,40.0,0.0
7936955,Latrobe Fertilisers,10700000.0,0.0,0.0
B57R0L9,Polyus,111912.0,10.0,0.0
7949606,Gippsland Energy,10700000.0,0.0,0.0
