SEDOL,Name,Holding,Value,Weight
B12LZH9,AL RAJHI BANK COMMON STOCK SAR 10,35449,645326.07,0.030380716821619486
6148197,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,142756,524540.93,0.02469438350085397
BN0VX82,NASPERS LTD COMMON STOCK ZAR 2,2771,505206.66,0.023784163057066945
6606996,FIRSTRAND LTD COMMON STOCK ZAR 1,143349,486169.48,0.022887929042125943
B030GJ7,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,40265,427905.34,0.020144964794307486
BJTM270,SAUDI ARABIAN OIL CO COMMON STOCK SAR,73566,410603.13,0.019330409847847327
6280215,GOLD FIELDS LTD COMMON STOCK ZAR 50,31177,397998.85,0.018737024458317965
B01RM25,EMAAR PROPERTIES PJSC COMMON STOCK AED 1,210406,387198.98,0.018228587239625865
BSHYYN1,THE SAUDI NATIONAL BANK,51456,353269.3,0.016631242815080664
7320154,OTP BANK NYRT COMMON STOCK HUF 100,8780,340382.85,0.01602457340176228
B03NGS5,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,29624,320778.87,0.015101655527149385
BJY21K1,JSC KASPI.KZ GDR-REG S,3703,317231.3,0.014934642718299323
B1KDG41,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,22007,316329.76,0.0148921999398085
BGRPD22,NOVA LJUBLJANSKA BANKA DD GDR EUR,15105,315053.83,0.014832131596351977
B28PFX8,EMIRATES NBD BANK PJSC COMMON STOCK AED 1,78089,314195.37,0.014791716941846096
BGXQL36,NAC KAZATOMPROM JSC GDR USD,9790,297358.92,0.01399908908515443
B12LZW4,RIYAD BANK COMMON STOCK SAR 10,54728,291292.33,0.0137134856337661
B39NWT3,ALINMA BANK COMMON STOCK SAR 10,49901,290403.55,0.013671643571664501
6545464,ABU DHABI COMMERCIAL BANK PJSC COMMON STOCK AED 1,148768,281645.85,0.013259347809758126
X84C974,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,362649,149477.7,0.007037124154688175
X84D1F5,LUKOIL PJSC COMMON STOCK RUB,262047,127103.3,0.005983780206482823
6801575,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,19991,266607.74,0.012551382359916059
BNYDSH8,ELM CO COMMON STOCK SAR 10,1247,264094.03,0.01243304170201939
B0L6750,SANLAM LTD COMMON STOCK ZAR 1,68294,263588.02,0.012409219719251966
BFX05H3,ABSA GROUP LTD,35367,262253.9,0.012346411901916989
6410562,HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,31227,259319.52,0.012208266905191497
BF4HYT8,BANK OF GEORGIA GROUP PLC COMMON STOCK GBP 1,6209,258294.4,0.012160006216717872
BYT1830,TBC BANK GROUP PLC COMMON STOCK GBP 1,9176,252340.0,0.011879684455902212
BC9ZH86,RICHTER GEDEON NYRT COMMON STOCK HUF 100,11178,250600.02,0.011797769526205846
BPJLW35,ADNOC GAS PLC,355644,249287.09,0.011735959293532914
5473113,BANK POLSKA KASA OPIEKI SA COMMON STOCK PLN 1,9088,247254.49,0.011640268374039107
6001728,ABU DHABI ISLAMIC BANK PJSC COMMON STOCK AED 1,88181,242011.68,0.011393446909101925
BJLTVJ4,DUBAI ELECTRICITY & WATER AU,458472,241751.11,0.01138117977199059
BN12D39,ADNOC DRILLING CO PJSC COMMON STOCK AED,222461,238846.1,0.011244417458678232
6100089,BIDVEST GROUP LTD/THE COMMON STOCK ZAR 5,18156,226567.67,0.010666372463774993
X8C529A,GAZPROM PJSC COMMON STOCK RUB,8860909,198486.02,0.009344342103938714
X84C976,GAZPROM PJSC ADR,5365084,24262.12,0.0011422141944647465
BG087C6,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,36078,218742.91,0.01029799773228904
7243530,JUMBO SA COMMON STOCK EUR 0.88,10435,215886.56,0.010163526238686693
B03MYN3,TURKCELL ILETISIM HIZMET AS,112308,215774.79,0.010158264320910533
B12M7Q5,SAUDI TELECOM CO COMMON STOCK,24635,215048.54,0.01012407386027766
BRRGQF6,PARKIN CO PJSC COMMON STOCK AED 0.02,234924,211930.42,0.009977278735859662
B0D0006,BIM BIRLESIK MAGAZALAR AS COMMON STOCK TRY 1,19988,211508.38,0.009957409900051749
X8C6155,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,14455036,178619.33,0.008409056345108454
X8C6398,SBERBANK OF RUSSIA PJSC,2355925,28901.51,0.001360627800186662
BYZ43T4,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,127190,202348.94,0.009526200987502136
